,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1, Park County, Montana: Summary level: 150, state:30> county:067> tract:000100> block group:1",125,70,,,,,,,,,,707,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 2, Census Tract 1, Park County, Montana: Summary level: 150, state:30> county:067> tract:000100> block group:2",223,127,,,,,,,,,,1089,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,51.4
"Block Group 1, Census Tract 2, Park County, Montana: Summary level: 150, state:30> county:067> tract:000200> block group:1",213,123,,,,,,,,,,787,58.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
"Block Group 2, Census Tract 3, Park County, Montana: Summary level: 150, state:30> county:067> tract:000300> block group:2",59,33,,,,,,,,,,793,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 2, Census Tract 5, Park County, Montana: Summary level: 150, state:30> county:067> tract:000500> block group:2",167,169,,,,,,,,,,775,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5,50.7
"Block Group 1, Census Tract 5, Park County, Montana: Summary level: 150, state:30> county:067> tract:000500> block group:1",137,72,,,,,,,,,,865,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 6, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:6",35,20,,,,,,,,,,809,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 3, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:3",26,19,,,,,,,,,,650,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:1",39,24,,,,,,,,,,695,64.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.6
"Block Group 1, Census Tract 9806, Park County, Montana: Summary level: 150, state:30> county:067> tract:980600> block group:1",0,1,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 3, Park County, Montana: Summary level: 150, state:30> county:067> tract:000300> block group:1",102,53,,,,,,,,,,1406,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.0,51.8
"Block Group 3, Census Tract 2, Park County, Montana: Summary level: 150, state:30> county:067> tract:000200> block group:3",148,102,,,,,,,,,,746,57.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,58.4
"Block Group 2, Census Tract 2, Park County, Montana: Summary level: 150, state:30> county:067> tract:000200> block group:2",210,115,,,,,,,,,,2578,44.3,-666666666.0,62.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 3, Census Tract 3, Park County, Montana: Summary level: 150, state:30> county:067> tract:000300> block group:3",99,51,,,,,,,,,,1083,33.2,-666666666.0,25.5,-666666666.0,-666666666.0,-666666666.0,24.6,32.6
"Block Group 4, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:4",52,18,,,,,,,,,,763,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.8
"Block Group 2, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:2",63,23,,,,,,,,,,1002,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 5, Census Tract 4, Park County, Montana: Summary level: 150, state:30> county:067> tract:000400> block group:5",42,21,,,,,,,,,,960,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
