,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 5, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000500> block group:1",95,23,,,,,,,,,,683,49.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.7
"Block Group 3, Census Tract 5, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000500> block group:3",63,28,,,,,,,,,,532,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 6, Census Tract 5, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000500> block group:6",62,34,,,,,,,,,,786,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 3, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000300> block group:1",87,44,,,,,,,,,,1058,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 3, Census Tract 3, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000300> block group:3",67,29,,,,,,,,,,905,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 3, Census Tract 8, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000800> block group:3",84,36,,,,,,,,,,749,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 5, Census Tract 8, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000800> block group:5",213,116,,,,,,,,,,1259,48.6,-666666666.0,12.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
"Block Group 5, Census Tract 2, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000200> block group:5",112,26,,,,,,,,,,1114,29.9,22.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6
"Block Group 4, Census Tract 2, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000200> block group:4",87,37,,,,,,,,,,1288,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 2, Census Tract 2, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000200> block group:2",29,18,,,,,,,,,,642,22.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.6
"Block Group 2, Census Tract 1, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000100> block group:2",31,21,,,,,,,,,,601,51.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.2,51.2
"Block Group 3, Census Tract 1, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000100> block group:3",39,21,,,,,,,,,,704,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.0
"Block Group 5, Census Tract 1, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000100> block group:5",24,17,,,,,,,,,,465,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
"Block Group 4, Census Tract 1, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000100> block group:4",82,23,,,,,,,,,,1348,23.0,29.9,58.1,-666666666.0,-666666666.0,-666666666.0,40.4,22.9
"Block Group 2, Census Tract 4, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000400> block group:2",134,60,,,,,,,,,,1526,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.3,-666666666.0,43.3
"Block Group 3, Census Tract 4, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000400> block group:3",74,41,,,,,,,,,,855,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 7, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000700> block group:2",93,49,,,,,,,,,,812,63.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.2
"Block Group 2, Census Tract 6, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000600> block group:2",35,17,,,,,,,,,,543,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 4, Census Tract 6, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000600> block group:4",37,22,,,,,,,,,,857,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.4
"Block Group 6, Census Tract 6, Silver Bow County, Montana: Summary level: 150, state:30> county:093> tract:000600> block group:6",57,27,,,,,,,,,,1209,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.9
