,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9661, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:966100> block group:1",131,74,,,,,,,,,,1395,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.8
"Block Group 2, Census Tract 9655, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965500> block group:2",75,32,,,,,,,,,,699,43.5,-666666666.0,14.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 1, Census Tract 9655, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965500> block group:1",140,51,,,,,,,,,,1644,30.8,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.1
"Block Group 3, Census Tract 9655, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965500> block group:3",86,39,,,,,,,,,,934,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 3, Census Tract 9659, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965900> block group:3",75,38,,,,,,,,,,754,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 1, Census Tract 9660, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:966000> block group:1",76,35,,,,,,,,,,1047,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 1, Census Tract 9659, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965900> block group:1",122,53,,,,,,,,,,1403,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 2, Census Tract 9660, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:966000> block group:2",85,31,,,,,,,,,,1428,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.7,37.1
"Block Group 4, Census Tract 9660, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:966000> block group:4",121,48,,,,,,,,,,1176,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 2, Census Tract 9654, Adams County, Nebraska: Summary level: 150, state:31> county:001> tract:965400> block group:2",462,183,,,,,,,,,,1507,44.2,-666666666.0,17.5,-666666666.0,-666666666.0,11.0,16.8,44.1
