,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9689, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:968900> block group:3",135,63,,,,,,,,,,576,61.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,61.0
"Block Group 1, Census Tract 9690, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969000> block group:1",234,96,,,,,,,,,,1253,33.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 2, Census Tract 9690, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969000> block group:2",220,107,,,,,,,,,,513,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 1, Census Tract 9691, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969100> block group:1",159,59,,,,,,,,,,1039,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 3, Census Tract 9691, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969100> block group:3",98,48,,,,,,,,,,451,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
"Block Group 4, Census Tract 9691, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969100> block group:4",298,119,,,,,,,,,,1500,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.1,25.4,40.5
"Block Group 2, Census Tract 9691, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969100> block group:2",111,44,,,,,,,,,,627,36.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 1, Census Tract 9692.02, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969202> block group:1",249,101,,,,,,,,,,2458,29.2,26.0,-666666666.0,35.2,-666666666.0,43.1,12.6,29.7
"Block Group 2, Census Tract 9695, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969500> block group:2",75,36,,,,,,,,,,683,30.9,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 1, Census Tract 9695, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969500> block group:1",86,38,,,,,,,,,,788,31.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.1
"Block Group 2, Census Tract 9693, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969300> block group:2",181,80,,,,,,,,,,1419,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.4,13.8,31.6
"Block Group 4, Census Tract 9694, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969400> block group:4",91,48,,,,,,,,,,1255,28.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,28.8
"Block Group 1, Census Tract 9694, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969400> block group:1",111,46,,,,,,,,,,1381,37.3,-666666666.0,-666666666.0,12.8,-666666666.0,-666666666.0,25.4,37.4
"Block Group 3, Census Tract 9694, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969400> block group:3",121,48,,,,,,,,,,898,54.7,-666666666.0,-666666666.0,7.8,-666666666.0,12.4,1.7,56.8
"Block Group 1, Census Tract 9692.04, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969204> block group:1",271,84,,,,,,,,,,3053,44.7,15.9,-666666666.0,-666666666.0,-666666666.0,59.2,18.7,45.0
"Block Group 1, Census Tract 9692.03, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969203> block group:1",159,65,,,,,,,,,,2796,33.5,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 2, Census Tract 9692.03, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969203> block group:2",75,28,,,,,,,,,,1232,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 4, Census Tract 9696, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969600> block group:4",198,71,,,,,,,,,,1949,24.2,57.7,-666666666.0,22.8,-666666666.0,-666666666.0,-666666666.0,23.9
"Block Group 2, Census Tract 9696, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969600> block group:2",161,30,,,,,,,,,,1464,21.0,33.7,-666666666.0,22.3,-666666666.0,-666666666.0,-666666666.0,21.0
"Block Group 3, Census Tract 9697, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969700> block group:3",113,39,,,,,,,,,,1956,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.6,35.1
"Block Group 2, Census Tract 9697, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969700> block group:2",106,30,,,,,,,,,,1504,31.5,-666666666.0,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.8
"Block Group 1, Census Tract 9689, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:968900> block group:1",225,93,,,,,,,,,,604,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 2, Census Tract 9689, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:968900> block group:2",259,106,,,,,,,,,,790,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.2,38.2
"Block Group 5, Census Tract 9689, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:968900> block group:5",215,84,,,,,,,,,,852,35.9,-666666666.0,-666666666.0,45.3,-666666666.0,-666666666.0,-666666666.0,36.8
"Block Group 4, Census Tract 9690, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969000> block group:4",165,61,,,,,,,,,,1252,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 9696, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969600> block group:1",216,28,,,,,,,,,,1748,19.9,-666666666.0,-666666666.0,21.5,-666666666.0,-666666666.0,22.1,20.0
"Block Group 3, Census Tract 9696, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969600> block group:3",75,34,,,,,,,,,,637,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.2
"Block Group 4, Census Tract 9697, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969700> block group:4",109,41,,,,,,,,,,1901,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.1,7.0,33.2
"Block Group 1, Census Tract 9697, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969700> block group:1",37,18,,,,,,,,,,902,28.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.7
"Block Group 4, Census Tract 9689, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:968900> block group:4",182,90,,,,,,,,,,703,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.4,41.4
"Block Group 2, Census Tract 9692.04, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969204> block group:2",159,59,,,,,,,,,,2077,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.2,-666666666.0,39.2
"Block Group 3, Census Tract 9692.03, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969203> block group:3",102,39,,,,,,,,,,1846,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 3, Census Tract 9690, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969000> block group:3",384,162,,,,,,,,,,1146,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.1,32.8
"Block Group 5, Census Tract 9691, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969100> block group:5",278,122,,,,,,,,,,1202,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.5,-666666666.0,44.5
"Block Group 2, Census Tract 9692.02, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969202> block group:2",109,43,,,,,,,,,,1285,34.9,-666666666.0,-666666666.0,27.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 3, Census Tract 9695, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969500> block group:3",98,34,,,,,,,,,,836,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.1,-666666666.0,30.7
"Block Group 2, Census Tract 9694, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969400> block group:2",50,33,,,,,,,,,,502,31.5,-666666666.0,-666666666.0,22.6,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 1, Census Tract 9693, Buffalo County, Nebraska: Summary level: 150, state:31> county:019> tract:969300> block group:1",109,45,,,,,,,,,,880,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.3,-666666666.0,31.7
