,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9717, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971700> block group:3",294,135,,,,,,,,,,828,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.1,47.1
"Block Group 4, Census Tract 9717, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971700> block group:4",195,87,,,,,,,,,,711,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.3,43.2
"Block Group 2, Census Tract 9717, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971700> block group:2",222,118,,,,,,,,,,639,51.3,2.8,-666666666.0,-666666666.0,-666666666.0,40.3,-666666666.0,51.7
"Block Group 2, Census Tract 9718, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971800> block group:2",311,145,,,,,,,,,,968,45.6,9.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 3, Census Tract 9718, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971800> block group:3",241,122,,,,,,,,,,919,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 3, Census Tract 9719, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971900> block group:3",88,39,,,,,,,,,,734,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 1, Census Tract 9720, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:972000> block group:1",266,124,,,,,,,,,,900,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.5,46.0
"Block Group 1, Census Tract 9719, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971900> block group:1",107,48,,,,,,,,,,1074,37.8,15.8,-666666666.0,-666666666.0,-666666666.0,43.2,-666666666.0,37.8
"Block Group 1, Census Tract 9717, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971700> block group:1",220,102,,,,,,,,,,600,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 2, Census Tract 9720, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:972000> block group:2",204,107,,,,,,,,,,526,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5,4.5,47.3
"Block Group 1, Census Tract 9718, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971800> block group:1",332,170,,,,,,,,,,899,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 9719, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971900> block group:2",69,31,,,,,,,,,,749,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 4, Census Tract 9719, Custer County, Nebraska: Summary level: 150, state:31> county:041> tract:971900> block group:4",121,56,,,,,,,,,,1255,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
