,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9740, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974000> block group:2",301,132,,,,,,,,,,997,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 3, Census Tract 9741, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974100> block group:3",315,170,,,,,,,,,,637,55.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.3,55.4
"Block Group 2, Census Tract 9741, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974100> block group:2",173,80,,,,,,,,,,732,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.5
"Block Group 3, Census Tract 9743, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974300> block group:3",80,40,,,,,,,,,,872,45.5,-666666666.0,-666666666.0,16.7,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 2, Census Tract 9743, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974300> block group:2",105,34,,,,,,,,,,1045,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 2, Census Tract 9742, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974200> block group:2",168,75,,,,,,,,,,718,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 1, Census Tract 9742, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974200> block group:1",252,117,,,,,,,,,,1366,37.3,-666666666.0,-666666666.0,28.3,-666666666.0,-666666666.0,13.2,37.5
"Block Group 5, Census Tract 9743, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974300> block group:5",36,25,,,,,,,,,,436,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 1, Census Tract 9740, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974000> block group:1",110,59,,,,,,,,,,581,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 1, Census Tract 9741, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974100> block group:1",456,209,,,,,,,,,,1181,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,43.9
"Block Group 1, Census Tract 9743, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974300> block group:1",56,30,,,,,,,,,,650,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 4, Census Tract 9743, Holt County, Nebraska: Summary level: 150, state:31> county:089> tract:974300> block group:4",93,42,,,,,,,,,,1183,33.0,-666666666.0,18.6,-666666666.0,-666666666.0,21.3,-666666666.0,35.1
