,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9608, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960800> block group:1",185,107,,,,,,,,,,711,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.7,10.5,51.2
"Block Group 4, Census Tract 9606, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960600> block group:4",216,28,,,,,,,,,,2109,21.6,18.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.0,21.4
"Block Group 1, Census Tract 9606, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960600> block group:1",77,34,,,,,,,,,,1982,31.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6,-666666666.0,51.4
"Block Group 2, Census Tract 9606, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960600> block group:2",83,37,,,,,,,,,,1571,57.1,-666666666.0,-666666666.0,49.0,-666666666.0,11.1,-666666666.0,60.8
"Block Group 3, Census Tract 9606, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960600> block group:3",87,26,,,,,,,,,,2306,39.1,-666666666.0,-666666666.0,13.5,-666666666.0,41.6,15.5,51.0
"Block Group 2, Census Tract 9609, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960900> block group:2",447,205,,,,,,,,,,1383,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.0,66.3,49.3
"Block Group 1, Census Tract 9609, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960900> block group:1",292,114,,,,,,,,,,1348,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8,-666666666.0,39.0
"Block Group 1, Census Tract 9607, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960700> block group:1",284,128,,,,,,,,,,937,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 2, Census Tract 9607, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960700> block group:2",338,134,,,,,,,,,,1281,39.1,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1,40.7
"Block Group 2, Census Tract 9608, Saline County, Nebraska: Summary level: 150, state:31> county:151> tract:960800> block group:2",266,135,,,,,,,,,,732,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,41.0
