,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9601, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960100> block group:3",429,187,,,,,,,,,,1471,46.3,-666666666.0,-666666666.0,35.8,-666666666.0,-666666666.0,52.5,46.3
"Block Group 2, Census Tract 9601, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960100> block group:2",320,143,,,,,,,,,,1221,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.2,42.9
"Block Group 2, Census Tract 9602, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960200> block group:2",183,76,,,,,,,,,,1073,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.5,-666666666.0,36.5
"Block Group 1, Census Tract 9602, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960200> block group:1",219,84,,,,,,,,,,1396,28.8,19.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.0,28.8
"Block Group 1, Census Tract 9603, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960300> block group:1",169,66,,,,,,,,,,1401,41.6,-666666666.0,-666666666.0,46.5,-666666666.0,-666666666.0,5.4,41.6
"Block Group 3, Census Tract 9604, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960400> block group:3",317,121,,,,,,,,,,1546,26.8,-666666666.0,-666666666.0,29.5,-666666666.0,-666666666.0,8.8,27.2
"Block Group 2, Census Tract 9604, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960400> block group:2",351,162,,,,,,,,,,1366,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.1,15.5,43.6
"Block Group 3, Census Tract 9603, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960300> block group:3",286,50,,,,,,,,,,1914,21.3,60.1,-666666666.0,-666666666.0,-666666666.0,29.6,11.6,21.3
"Block Group 1, Census Tract 9601, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960100> block group:1",295,121,,,,,,,,,,1716,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.5,45.4
"Block Group 2, Census Tract 9603, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960300> block group:2",200,78,,,,,,,,,,1616,47.0,-666666666.0,-666666666.0,54.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 1, Census Tract 9604, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960400> block group:1",241,97,,,,,,,,,,1276,42.1,-666666666.0,-666666666.0,11.3,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 4, Census Tract 9604, Seward County, Nebraska: Summary level: 150, state:31> county:159> tract:960400> block group:4",233,95,,,,,,,,,,1002,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.3,38.6
