,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 501.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050102> block group:5",59,27,,,,,,,,,,1106,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.6,47.7
"Block Group 4, Census Tract 501.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050102> block group:4",30,13,,,,,,,,,,696,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8
"Block Group 1, Census Tract 502.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050202> block group:1",210,88,,,,,,,,,,1205,52.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
"Block Group 2, Census Tract 502.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050202> block group:2",105,33,,,,,,,,,,1044,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 2, Census Tract 502.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050201> block group:2",137,52,,,,,,,,,,1488,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 2, Census Tract 503, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050300> block group:2",201,97,,,,,,,,,,905,47.8,-666666666.0,0.0,-666666666.0,-666666666.0,14.5,-666666666.0,47.7
"Block Group 1, Census Tract 503, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050300> block group:1",79,35,,,,,,,,,,802,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 3, Census Tract 503, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050300> block group:3",382,150,,,,,,,,,,1382,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.5,36.7
"Block Group 1, Census Tract 501.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050102> block group:1",85,36,,,,,,,,,,1578,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.9
"Block Group 3, Census Tract 502.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050202> block group:3",183,82,,,,,,,,,,848,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 3, Census Tract 501.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050101> block group:3",147,45,,,,,,,,,,1289,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.9
"Block Group 1, Census Tract 502.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050201> block group:1",261,113,,,,,,,,,,764,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 2, Census Tract 501.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050101> block group:2",135,53,,,,,,,,,,1421,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 2, Census Tract 501.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050102> block group:2",42,22,,,,,,,,,,1148,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 3, Census Tract 501.02, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050102> block group:3",36,14,,,,,,,,,,851,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 3, Census Tract 502.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050201> block group:3",156,61,,,,,,,,,,1796,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 1, Census Tract 501.01, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050101> block group:1",76,25,,,,,,,,,,620,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 4, Census Tract 503, Washington County, Nebraska: Summary level: 150, state:31> county:177> tract:050300> block group:4",168,63,,,,,,,,,,1314,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0,39.9
