,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9786, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978600> block group:3",210,91,,,,,,,,,,803,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 4, Census Tract 9786, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978600> block group:4",212,90,,,,,,,,,,1073,41.3,22.8,-666666666.0,-666666666.0,-666666666.0,33.7,-666666666.0,41.8
"Block Group 4, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:4",35,20,,,,,,,,,,575,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.1
"Block Group 1, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:1",52,23,,,,,,,,,,1036,54.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 3, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:3",44,18,,,,,,,,,,839,33.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 5, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:5",38,15,,,,,,,,,,584,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 6, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:6",240,11,,,,,,,,,,1772,19.8,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.6,19.8
"Block Group 2, Census Tract 9786, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978600> block group:2",336,156,,,,,,,,,,739,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,44.2
"Block Group 1, Census Tract 9786, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978600> block group:1",245,96,,,,,,,,,,823,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 2, Census Tract 9787, Wayne County, Nebraska: Summary level: 150, state:31> county:179> tract:978700> block group:2",67,25,,,,,,,,,,1181,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.0
