,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9507, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950700> block group:3",45,22,,,,,,,,,,764,57.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 2, Census Tract 9507, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950700> block group:2",86,31,,,,,,,,,,1614,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0,39.6
"Block Group 3, Census Tract 9503.01, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950301> block group:3",110,54,,,,,,,,,,1384,58.3,-666666666.0,49.2,49.1,-666666666.0,29.0,16.6,58.5
"Block Group 1, Census Tract 9503.01, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950301> block group:1",46,25,,,,,,,,,,534,28.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7
"Block Group 2, Census Tract 9506, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950600> block group:2",69,29,,,,,,,,,,1254,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,-666666666.0,53.4
"Block Group 2, Census Tract 9501, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950100> block group:2",238,86,,,,,,,,,,1821,39.2,20.8,52.0,56.9,-666666666.0,20.1,22.5,39.5
"Block Group 1, Census Tract 9506, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950600> block group:1",89,35,,,,,,,,,,1754,44.3,-666666666.0,-666666666.0,19.6,-666666666.0,-666666666.0,37.2,50.4
"Block Group 1, Census Tract 9505, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950500> block group:1",398,185,,,,,,,,,,884,43.1,-666666666.0,37.3,-666666666.0,-666666666.0,52.8,13.8,43.5
"Block Group 2, Census Tract 9505, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950500> block group:2",92,40,,,,,,,,,,643,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.0,-666666666.0,41.7
"Block Group 1, Census Tract 9501, Churchill County, Nevada: Summary level: 150, state:32> county:001> tract:950100> block group:1",115,63,,,,,,,,,,777,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.3,-666666666.0,52.2
