,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 53.20, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005320> block group:1",66.0,31.0,,,,,,,,,,706,32.1,-666666666.0,-666666666.0,35.8,-666666666.0,-666666666.0,8.0,31.7
"Block Group 2, Census Tract 53.13, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005313> block group:2",60.0,32.0,,,,,,,,,,1298,40.9,32.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 1, Census Tract 53.16, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005316> block group:1",88.0,40.0,,,,,,,,,,1509,47.8,14.2,-666666666.0,48.8,-666666666.0,-666666666.0,27.5,51.8
"Block Group 3, Census Tract 53.16, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005316> block group:3",143.0,60.0,,,,,,,,,,2273,42.2,45.1,-666666666.0,54.4,-666666666.0,56.9,18.7,43.1
"Block Group 2, Census Tract 53.20, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005320> block group:2",94.0,45.0,,,,,,,,,,883,38.1,49.3,-666666666.0,48.0,-666666666.0,38.7,26.7,40.7
"Block Group 2, Census Tract 55.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005501> block group:2",78.0,41.0,,,,,,,,,,1684,60.2,-666666666.0,-666666666.0,54.4,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 1, Census Tract 57.03, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005703> block group:1",,,,,,,,,,,,14,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 50.12, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005012> block group:1",72.0,32.0,,,,,,,,,,808,44.9,32.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,45.8
"Block Group 1, Census Tract 51.07, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005107> block group:1",125.0,55.0,,,,,,,,,,1765,41.2,42.4,-666666666.0,-666666666.0,-666666666.0,21.7,12.5,45.5
"Block Group 2, Census Tract 52, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005200> block group:2",150.0,52.0,,,,,,,,,,1464,46.5,28.9,-666666666.0,38.8,-666666666.0,33.0,14.5,52.6
"Block Group 3, Census Tract 1.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:000101> block group:3",57.0,22.0,,,,,,,,,,716,59.1,38.1,-666666666.0,33.8,-666666666.0,25.4,21.9,60.9
"Block Group 4, Census Tract 1.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:000101> block group:4",115.0,38.0,,,,,,,,,,1708,42.7,30.4,-666666666.0,-666666666.0,51.2,24.5,54.1,58.0
"Block Group 2, Census Tract 17.15, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:001715> block group:2",156.0,54.0,,,,,,,,,,1783,28.7,22.7,-666666666.0,32.3,28.5,30.1,6.2,41.9
"Block Group 1, Census Tract 17.15, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:001715> block group:1",91.0,29.0,,,,,,,,,,1194,37.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.8,-666666666.0,48.9
"Block Group 1, Census Tract 61.03, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:006103> block group:1",105.0,61.0,,,,,,,,,,1450,45.8,44.4,-666666666.0,47.3,-666666666.0,-666666666.0,16.2,55.5
"Block Group 2, Census Tract 61.03, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:006103> block group:2",151.0,62.0,,,,,,,,,,1659,36.4,64.0,-666666666.0,49.6,65.5,44.2,13.6,50.3
"Block Group 2, Census Tract 62.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:006201> block group:2",112.0,45.0,,,,,,,,,,1579,35.1,20.4,-666666666.0,-666666666.0,-666666666.0,41.6,16.3,44.0
"Block Group 1, Census Tract 25.04, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002504> block group:1",135.0,89.0,,,,,,,,,,1846,32.5,46.9,-666666666.0,28.6,20.5,38.6,29.1,33.7
"Block Group 3, Census Tract 25.04, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002504> block group:3",67.0,36.0,,,,,,,,,,801,43.1,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.8
"Block Group 1, Census Tract 19.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:001901> block group:1",82.0,34.0,,,,,,,,,,2562,27.1,-666666666.0,-666666666.0,14.2,-666666666.0,21.9,-666666666.0,34.8
"Block Group 1, Census Tract 24.03, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002403> block group:1",55.0,46.0,,,,,,,,,,990,63.0,31.1,-666666666.0,49.0,-666666666.0,-666666666.0,-666666666.0,72.1
"Block Group 1, Census Tract 24.05, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002405> block group:1",73.0,48.0,,,,,,,,,,1593,38.5,27.4,-666666666.0,-666666666.0,-666666666.0,19.5,-666666666.0,52.2
"Block Group 2, Census Tract 28.08, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002808> block group:2",78.0,42.0,,,,,,,,,,667,47.0,27.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3,49.2
"Block Group 2, Census Tract 28.24, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002824> block group:2",122.0,55.0,,,,,,,,,,825,55.3,-666666666.0,-666666666.0,59.3,-666666666.0,35.2,43.8,60.5
"Block Group 1, Census Tract 29.42, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002942> block group:1",92.0,34.0,,,,,,,,,,1393,41.6,-666666666.0,-666666666.0,44.1,-666666666.0,-666666666.0,18.6,45.1
"Block Group 2, Census Tract 29.42, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002942> block group:2",171.0,105.0,,,,,,,,,,2166,53.1,34.4,-666666666.0,37.1,-666666666.0,21.4,32.1,58.3
"Block Group 2, Census Tract 29.46, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002946> block group:2",110.0,62.0,,,,,,,,,,828,58.8,51.5,-666666666.0,50.9,-666666666.0,-666666666.0,47.7,60.4
"Block Group 3, Census Tract 24.05, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002405> block group:3",68.0,28.0,,,,,,,,,,1435,26.4,22.8,-666666666.0,-666666666.0,-666666666.0,32.6,-666666666.0,32.5
"Block Group 4, Census Tract 60.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:006001> block group:4",135.0,78.0,,,,,,,,,,1705,26.7,41.6,-666666666.0,48.5,-666666666.0,-666666666.0,26.6,26.8
"Block Group 3, Census Tract 60.01, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:006001> block group:3",24.0,9.0,,,,,,,,,,627,11.1,-666666666.0,-666666666.0,40.0,-666666666.0,-666666666.0,48.2,50.3
"Block Group 3, Census Tract 22.03, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:002203> block group:3",189.0,69.0,,,,,,,,,,2857,26.6,12.7,14.9,33.8,-666666666.0,26.2,22.9,40.3
"Block Group 3, Census Tract 47.13, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:004713> block group:3",54.0,27.0,,,,,,,,,,785,15.5,18.6,-666666666.0,-666666666.0,-666666666.0,43.2,22.1,-666666666.0
"Block Group 4, Census Tract 53.36, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:005336> block group:4",86.0,45.0,,,,,,,,,,1442,36.4,30.5,-666666666.0,28.5,-666666666.0,29.3,6.5,42.3
"Block Group 3, Census Tract 16.09, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:001609> block group:3",80.0,23.0,,,,,,,,,,1359,40.5,61.2,21.9,57.1,-666666666.0,48.1,-666666666.0,40.9
"Block Group 1, Census Tract 36.44, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:003644> block group:1",141.0,62.0,,,,,,,,,,2118,39.8,27.6,-666666666.0,46.4,48.8,4.0,27.7,54.2
"Block Group 1, Census Tract 36.22, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:003622> block group:1",109.0,38.0,,,,,,,,,,1982,38.1,58.5,-666666666.0,37.4,-666666666.0,46.6,11.7,38.1
"Block Group 1, Census Tract 36.32, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:003632> block group:1",150.0,49.0,,,,,,,,,,1553,34.9,39.4,-666666666.0,65.3,-666666666.0,24.7,16.2,34.7
"Block Group 4, Census Tract 36.35, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:003635> block group:4",69.0,27.0,,,,,,,,,,1507,37.4,30.8,-666666666.0,38.5,-666666666.0,18.3,25.6,38.8
"Block Group 1, Census Tract 36.35, Clark County, Nevada: Summary level: 150, state:32> county:003> tract:003635> block group:1",106.0,37.0,,,,,,,,,,1527,43.1,40.2,-666666666.0,46.0,-666666666.0,9.7,18.5,53.0
