,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 29.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002902> block group:1",69,33,,,,,,,,,,1254,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.1,-666666666.0,51.2
"Block Group 4, Census Tract 29.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002902> block group:4",75,31,,,,,,,,,,886,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8,-666666666.0,53.0
"Block Group 2, Census Tract 29.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002902> block group:2",87,29,,,,,,,,,,1488,34.7,27.2,-666666666.0,-666666666.0,-666666666.0,46.4,35.0,36.1
"Block Group 1, Census Tract 18.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001801> block group:1",55,22,,,,,,,,,,824,27.4,64.7,-666666666.0,-666666666.0,-666666666.0,15.1,22.2,29.9
"Block Group 1, Census Tract 11.04, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001104> block group:1",150,71,,,,,,,,,,1711,54.3,-666666666.0,-666666666.0,35.3,34.2,-666666666.0,6.8,54.2
"Block Group 1, Census Tract 11.03, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001103> block group:1",67,32,,,,,,,,,,1122,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.1
"Block Group 1, Census Tract 26.18, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002618> block group:1",61,19,,,,,,,,,,1297,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0,-666666666.0,31.5
"Block Group 4, Census Tract 15.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001501> block group:4",66,24,,,,,,,,,,1263,28.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3,19.5,26.8
"Block Group 3, Census Tract 15.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001501> block group:3",63,29,,,,,,,,,,894,48.9,-666666666.0,-666666666.0,30.0,-666666666.0,-666666666.0,-666666666.0,48.9
"Block Group 2, Census Tract 15.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001501> block group:2",78,32,,,,,,,,,,925,61.9,-666666666.0,-666666666.0,49.1,-666666666.0,-666666666.0,5.7,62.1
"Block Group 1, Census Tract 26.19, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002619> block group:1",134,55,,,,,,,,,,2604,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.5,11.3,42.4
"Block Group 2, Census Tract 26.19, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002619> block group:2",65,24,,,,,,,,,,1750,43.8,25.8,-666666666.0,-666666666.0,-666666666.0,17.9,-666666666.0,49.1
"Block Group 4, Census Tract 26.19, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002619> block group:4",61,28,,,,,,,,,,1110,29.9,23.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.3,42.1
"Block Group 3, Census Tract 1.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:000101> block group:3",60,57,,,,,,,,,,981,60.3,72.1,-666666666.0,50.2,-666666666.0,42.1,59.9,60.8
"Block Group 2, Census Tract 1.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:000101> block group:2",27,23,,,,,,,,,,371,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6
"Block Group 1, Census Tract 9802, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:980200> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 23.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002301> block group:1",45,17,,,,,,,,,,822,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 2, Census Tract 23.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002301> block group:2",32,19,,,,,,,,,,599,58.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
"Block Group 4, Census Tract 11.03, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001103> block group:4",72,35,,,,,,,,,,1168,56.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.9
"Block Group 3, Census Tract 11.03, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001103> block group:3",106,47,,,,,,,,,,1837,52.7,-666666666.0,5.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 2, Census Tract 21.04, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002104> block group:2",119,56,,,,,,,,,,1307,59.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.4,64.2
"Block Group 1, Census Tract 21.04, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002104> block group:1",73,32,,,,,,,,,,751,39.8,-666666666.0,-666666666.0,56.3,-666666666.0,12.7,-666666666.0,40.4
"Block Group 1, Census Tract 24.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002401> block group:1",117,44,,,,,,,,,,1113,40.5,-666666666.0,-666666666.0,41.3,-666666666.0,36.4,-666666666.0,41.5
"Block Group 2, Census Tract 35.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003501> block group:2",392,147,,,,,,,,,,2618,52.9,74.1,23.3,39.9,6.8,-666666666.0,36.7,54.8
"Block Group 1, Census Tract 35.07, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003507> block group:1",187,73,,,,,,,,,,1935,44.5,-666666666.0,-666666666.0,41.1,-666666666.0,-666666666.0,3.5,44.6
"Block Group 4, Census Tract 30, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003000> block group:4",46,17,,,,,,,,,,999,52.6,-666666666.0,-666666666.0,26.2,-666666666.0,21.7,16.6,58.6
"Block Group 2, Census Tract 30, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003000> block group:2",52,23,,,,,,,,,,1280,52.5,-666666666.0,-666666666.0,6.0,-666666666.0,-666666666.0,26.4,52.5
"Block Group 6, Census Tract 30, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003000> block group:6",39,23,,,,,,,,,,740,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.7
"Block Group 2, Census Tract 31.05, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003105> block group:2",123,56,,,,,,,,,,1030,37.8,23.3,-666666666.0,28.9,-666666666.0,18.7,39.8,43.8
"Block Group 2, Census Tract 32.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003202> block group:2",79,30,,,,,,,,,,1623,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 3, Census Tract 32.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003202> block group:3",44,17,,,,,,,,,,859,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 4, Census Tract 32.02, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003202> block group:4",65,29,,,,,,,,,,1176,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9
"Block Group 3, Census Tract 35.01, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003501> block group:3",76,39,,,,,,,,,,826,57.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3
"Block Group 3, Census Tract 21.06, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002106> block group:3",131,52,,,,,,,,,,1388,48.3,13.1,39.5,49.1,-666666666.0,25.5,17.5,53.2
"Block Group 3, Census Tract 21.05, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002105> block group:3",159,82,,,,,,,,,,2465,34.2,32.2,-666666666.0,27.8,-666666666.0,44.9,27.4,46.0
"Block Group 2, Census Tract 21.05, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002105> block group:2",81,46,,,,,,,,,,1123,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 5, Census Tract 4, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:000400> block group:5",54,28,,,,,,,,,,1328,29.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.9
"Block Group 1, Census Tract 24.09, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:002409> block group:1",346,129,,,,,,,,,,4246,40.7,38.1,-666666666.0,44.5,-666666666.0,-666666666.0,16.7,40.9
"Block Group 1, Census Tract 32.03, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:003203> block group:1",139,52,,,,,,,,,,1787,45.7,21.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2,47.3
"Block Group 2, Census Tract 10.11, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001011> block group:2",162,65,,,,,,,,,,1740,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 1, Census Tract 10.11, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001011> block group:1",163,66,,,,,,,,,,1856,49.7,-666666666.0,8.5,72.0,-666666666.0,-666666666.0,11.9,49.6
"Block Group 3, Census Tract 10.13, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001013> block group:3",54,28,,,,,,,,,,1153,54.8,-666666666.0,-666666666.0,-666666666.0,52.0,-666666666.0,-666666666.0,54.8
"Block Group 2, Census Tract 10.13, Washoe County, Nevada: Summary level: 150, state:32> county:031> tract:001013> block group:2",99,40,,,,,,,,,,1898,51.2,-666666666.0,-666666666.0,40.1,-666666666.0,-666666666.0,-666666666.0,50.8
