,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9603, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:960300> block group:3",533,255,,,,,,,,,,1570,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.8,50.0
"Block Group 4, Census Tract 9603, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:960300> block group:4",614,353,,,,,,,,,,1649,55.0,-666666666.0,-666666666.0,41.8,-666666666.0,-666666666.0,12.0,55.2
"Block Group 1, Census Tract 9606, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:960600> block group:1",30,28,,,,,,,,,,382,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 4, Census Tract 9618, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:961800> block group:4",57,22,,,,,,,,,,1050,36.7,-666666666.0,-666666666.0,39.4,-666666666.0,-666666666.0,37.4,39.0
"Block Group 1, Census Tract 9618, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:961800> block group:1",86,50,,,,,,,,,,1549,51.1,-666666666.0,-666666666.0,36.7,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 1, Census Tract 9615, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:961500> block group:1",42,23,,,,,,,,,,775,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 3, Census Tract 9611, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:961100> block group:3",105,71,,,,,,,,,,998,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 2, Census Tract 9611, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:961100> block group:2",80,53,,,,,,,,,,630,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 3, Census Tract 9601, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:960100> block group:3",43,26,,,,,,,,,,889,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 4, Census Tract 9601, Grafton County, New Hampshire: Summary level: 150, state:33> county:009> tract:960100> block group:4",93,37,,,,,,,,,,1485,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2
