,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 6, Census Tract 24, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002400> block group:6",38,16,,,,,,,,,,870,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 4, Census Tract 24, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002400> block group:4",126,43,,,,,,,,,,2744,36.0,17.5,-666666666.0,51.1,-666666666.0,-666666666.0,17.6,40.3
"Block Group 3, Census Tract 24, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002400> block group:3",36,17,,,,,,,,,,736,39.9,-666666666.0,-666666666.0,43.1,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 1, Census Tract 12, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:001200> block group:1",130,59,,,,,,,,,,949,49.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4,-666666666.0,53.6
"Block Group 2, Census Tract 12, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:001200> block group:2",117,57,,,,,,,,,,870,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6,39.7
"Block Group 2, Census Tract 15, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:001500> block group:2",98,31,,,,,,,,,,742,26.6,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.6,28.4
"Block Group 3, Census Tract 15, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:001500> block group:3",145,49,,,,,,,,,,1051,29.9,13.6,-666666666.0,31.2,-666666666.0,30.6,-666666666.0,40.5
"Block Group 1, Census Tract 15, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:001500> block group:1",118,71,,,,,,,,,,1042,29.7,-666666666.0,-666666666.0,20.5,-666666666.0,27.2,40.6,30.8
"Block Group 1, Census Tract 22, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002200> block group:1",86,37,,,,,,,,,,1124,33.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,33.2
"Block Group 3, Census Tract 22, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002200> block group:3",91,38,,,,,,,,,,782,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 2, Census Tract 26, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002600> block group:2",68,29,,,,,,,,,,1248,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.5,43.5
"Block Group 1, Census Tract 26, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:002600> block group:1",56,24,,,,,,,,,,1014,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 1, Census Tract 104, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:010400> block group:1",55,26,,,,,,,,,,946,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 4, Census Tract 104, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:010400> block group:4",70,30,,,,,,,,,,1373,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 1, Census Tract 122, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:012200> block group:1",73,27,,,,,,,,,,1407,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 5, Census Tract 104, Hillsborough County, New Hampshire: Summary level: 150, state:33> county:011> tract:010400> block group:5",66,23,,,,,,,,,,1074,35.5,-666666666.0,-666666666.0,19.6,-666666666.0,-666666666.0,-666666666.0,35.5
