,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 35, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:003500> block group:1",26,11,,,,,,,,,,626,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 2, Census Tract 35, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:003500> block group:2",151,76,,,,,,,,,,2619,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 1, Census Tract 675.01, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067501> block group:1",154,75,,,,,,,,,,2800,37.4,-666666666.0,-666666666.0,34.6,-666666666.0,-666666666.0,25.0,37.2
"Block Group 3, Census Tract 675.01, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067501> block group:3",175,65,,,,,,,,,,2873,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 2, Census Tract 675.01, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067501> block group:2",443,161,,,,,,,,,,1618,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,18.3,42.0
"Block Group 3, Census Tract 675.02, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067502> block group:3",98,44,,,,,,,,,,866,51.2,-666666666.0,-666666666.0,33.0,-666666666.0,-666666666.0,-666666666.0,51.2
"Block Group 1, Census Tract 675.02, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067502> block group:1",104,47,,,,,,,,,,1207,30.8,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.0,30.8
"Block Group 2, Census Tract 675.02, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:067502> block group:2",92,54,,,,,,,,,,1161,37.1,16.9,-666666666.0,17.3,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 2, Census Tract 40, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:004000> block group:2",138,54,,,,,,,,,,1514,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 1, Census Tract 40, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:004000> block group:1",164,66,,,,,,,,,,1851,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 3, Census Tract 40, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:004000> block group:3",160,64,,,,,,,,,,1776,46.1,-666666666.0,-666666666.0,41.1,-666666666.0,-666666666.0,47.4,46.3
"Block Group 2, Census Tract 500, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:050000> block group:2",273,101,,,,,,,,,,3014,45.7,-666666666.0,-666666666.0,47.2,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 500, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:050000> block group:1",92,41,,,,,,,,,,899,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 1, Census Tract 530, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:053000> block group:1",195,66,,,,,,,,,,2098,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 2, Census Tract 580, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:058000> block group:2",84,39,,,,,,,,,,782,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 3, Census Tract 590, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:059000> block group:3",169,65,,,,,,,,,,2882,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 1, Census Tract 590, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:059000> block group:1",90,34,,,,,,,,,,1877,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.3,41.0
"Block Group 1, Census Tract 600, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:060000> block group:1",268,68,,,,,,,,,,2323,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.6,24.7,43.4
"Block Group 3, Census Tract 1001, Rockingham County, New Hampshire: Summary level: 150, state:33> county:015> tract:100100> block group:3",97,35,,,,,,,,,,1373,46.7,-666666666.0,-666666666.0,18.0,-666666666.0,-666666666.0,-666666666.0,47.3
