,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 6035.04, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603504> block group:1",244,93,,,,,,,,,,1527,46.1,18.3,-666666666.0,42.5,-666666666.0,42.0,26.4,46.7
"Block Group 2, Census Tract 6036.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603603> block group:2",162,64,,,,,,,,,,995,46.2,-666666666.0,-666666666.0,31.8,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 6036.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603603> block group:1",205,83,,,,,,,,,,1252,45.1,77.7,-666666666.0,73.1,-666666666.0,6.0,-666666666.0,45.2
"Block Group 1, Census Tract 6017, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:601700> block group:1",152,94,,,,,,,,,,1958,27.2,27.5,-666666666.0,-666666666.0,-666666666.0,17.8,2.8,-666666666.0
"Block Group 1, Census Tract 6033.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603303> block group:1",157,84,,,,,,,,,,1560,59.9,59.3,15.2,31.0,-666666666.0,-666666666.0,34.9,63.7
"Block Group 3, Census Tract 6035.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603503> block group:3",143,54,,,,,,,,,,1202,56.6,-666666666.0,-666666666.0,53.9,-666666666.0,-666666666.0,-666666666.0,56.2
"Block Group 2, Census Tract 6035.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603503> block group:2",195,74,,,,,,,,,,2043,45.3,-666666666.0,-666666666.0,42.8,-666666666.0,-666666666.0,43.1,45.4
"Block Group 1, Census Tract 6035.03, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:603503> block group:1",141,50,,,,,,,,,,1245,48.1,19.5,-666666666.0,64.1,-666666666.0,-666666666.0,3.4,48.1
"Block Group 2, Census Tract 6042, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:604200> block group:2",58,27,,,,,,,,,,710,37.3,10.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 3, Census Tract 6042, Camden County, New Jersey: Summary level: 150, state:34> county:007> tract:604200> block group:3",114,50,,,,,,,,,,1274,32.4,18.9,-666666666.0,56.6,-666666666.0,-666666666.0,-666666666.0,32.9
