,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 461.04, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:046104> block group:3",87,26,,,,,,,,,,1390,42.1,-666666666.0,-666666666.0,40.3,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 4, Census Tract 422, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:042200> block group:4",195,82,,,,,,,,,,2316,45.3,-666666666.0,-666666666.0,39.7,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 3, Census Tract 420, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:042000> block group:3",208,103,,,,,,,,,,2082,51.4,48.7,-666666666.0,33.9,15.5,-666666666.0,5.8,49.9
"Block Group 2, Census Tract 425, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:042500> block group:2",207,71,,,,,,,,,,2097,42.4,-666666666.0,-666666666.0,42.2,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 3, Census Tract 438, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:043800> block group:3",75,45,,,,,,,,,,2216,30.3,66.2,-666666666.0,27.0,-666666666.0,12.9,-666666666.0,30.3
"Block Group 1, Census Tract 438, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:043800> block group:1",44,23,,,,,,,,,,886,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,27.4,44.6
"Block Group 1, Census Tract 440, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044000> block group:1",115,36,,,,,,,,,,1409,31.7,-666666666.0,-666666666.0,63.6,-666666666.0,-666666666.0,-666666666.0,31.4
"Block Group 3, Census Tract 440, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044000> block group:3",133,50,,,,,,,,,,1415,46.5,25.8,-666666666.0,40.6,-666666666.0,-666666666.0,12.2,46.5
"Block Group 2, Census Tract 441.01, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044101> block group:2",209,77,,,,,,,,,,1842,46.6,-666666666.0,-666666666.0,46.3,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 1, Census Tract 441.01, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044101> block group:1",108,37,,,,,,,,,,1060,44.3,-666666666.0,-666666666.0,50.6,-666666666.0,-666666666.0,12.7,44.3
"Block Group 2, Census Tract 461.06, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:046106> block group:2",76,27,,,,,,,,,,1613,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 3, Census Tract 461.06, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:046106> block group:3",120,36,,,,,,,,,,2186,38.0,21.8,12.4,40.0,-666666666.0,-666666666.0,15.4,40.3
"Block Group 1, Census Tract 461.06, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:046106> block group:1",215,73,,,,,,,,,,4166,40.9,22.7,-666666666.0,44.3,-666666666.0,-666666666.0,17.0,44.5
"Block Group 1, Census Tract 447.02, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044702> block group:1",109,43,,,,,,,,,,1869,50.3,-666666666.0,-666666666.0,14.4,-666666666.0,-666666666.0,-666666666.0,53.1
"Block Group 2, Census Tract 447.02, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044702> block group:2",222,80,,,,,,,,,,4150,40.2,38.2,-666666666.0,39.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 448, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044800> block group:1",100,30,,,,,,,,,,2359,31.2,29.5,-666666666.0,43.8,-666666666.0,39.1,-666666666.0,40.1
"Block Group 3, Census Tract 448, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044800> block group:3",81,31,,,,,,,,,,2155,33.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8,-666666666.0,16.8
"Block Group 2, Census Tract 448, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:044800> block group:2",120,43,,,,,,,,,,2703,40.8,56.9,-666666666.0,62.6,-666666666.0,25.9,34.5,47.5
"Block Group 2, Census Tract 456.03, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:045603> block group:2",162,76,,,,,,,,,,3053,35.3,48.1,-666666666.0,30.6,-666666666.0,-666666666.0,40.3,36.7
"Block Group 1, Census Tract 456.03, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:045603> block group:1",86,25,,,,,,,,,,1151,42.7,21.4,-666666666.0,64.1,-666666666.0,12.6,-666666666.0,45.2
"Block Group 3, Census Tract 405, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:040500> block group:3",104,39,,,,,,,,,,1046,39.4,-666666666.0,-666666666.0,28.6,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 1, Census Tract 405, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:040500> block group:1",115,51,,,,,,,,,,1434,35.9,-666666666.0,-666666666.0,29.5,-666666666.0,24.8,-666666666.0,46.7
"Block Group 1, Census Tract 456.02, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:045602> block group:1",315,127,,,,,,,,,,1593,30.3,45.2,-666666666.0,41.4,-666666666.0,32.6,16.8,33.2
"Block Group 1, Census Tract 401.01, Morris County, New Jersey: Summary level: 150, state:34> county:027> tract:040101> block group:1",142,47,,,,,,,,,,1372,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6,-666666666.0,38.5
