,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 3715.03, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:371503> block group:1",218,78,,,,,,,,,,2632,41.7,16.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4,41.9
"Block Group 4, Census Tract 3715.02, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:371502> block group:4",92,35,,,,,,,,,,1525,41.0,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 1, Census Tract 3746, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:374600> block group:1",52,21,,,,,,,,,,569,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 3749, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:374900> block group:2",104,40,,,,,,,,,,1391,32.1,-666666666.0,-666666666.0,43.7,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 1, Census Tract 3749, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:374900> block group:1",117,50,,,,,,,,,,1396,33.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.7
"Block Group 1, Census Tract 3730, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:373000> block group:1",197,79,,,,,,,,,,1260,40.1,-666666666.0,-666666666.0,35.4,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 2, Census Tract 3727, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:372700> block group:2",92,49,,,,,,,,,,1095,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 3, Census Tract 3727, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:372700> block group:3",121,57,,,,,,,,,,1456,42.4,57.6,-666666666.0,53.6,-666666666.0,-666666666.0,10.8,41.9
"Block Group 2, Census Tract 3730, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:373000> block group:2",192,69,,,,,,,,,,1172,42.5,-666666666.0,-666666666.0,17.5,-666666666.0,-666666666.0,10.1,42.2
"Block Group 2, Census Tract 3740, Sussex County, New Jersey: Summary level: 150, state:34> county:037> tract:374000> block group:2",279,96,,,,,,,,,,1947,47.3,27.5,-666666666.0,46.1,-666666666.0,-666666666.0,19.8,47.3
