,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 376.02, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037602> block group:1",113,40,,,,,,,,,,2204,40.6,-666666666.0,-666666666.0,50.3,-666666666.0,-666666666.0,18.7,44.2
"Block Group 2, Census Tract 376.02, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037602> block group:2",159,69,,,,,,,,,,2901,52.2,57.2,-666666666.0,34.6,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 1, Census Tract 378, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037800> block group:1",69,32,,,,,,,,,,1124,47.0,78.4,-666666666.0,72.1,-666666666.0,25.4,-666666666.0,45.2
"Block Group 4, Census Tract 378, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037800> block group:4",61,25,,,,,,,,,,941,46.1,-666666666.0,-666666666.0,50.3,-666666666.0,-666666666.0,12.0,46.1
"Block Group 2, Census Tract 388, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038800> block group:2",132,43,,,,,,,,,,1908,11.4,38.0,-666666666.0,-666666666.0,-666666666.0,37.4,21.6,-666666666.0
"Block Group 1, Census Tract 388, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038800> block group:1",112,44,,,,,,,,,,1239,42.1,42.7,-666666666.0,31.5,-666666666.0,47.5,-666666666.0,55.9
"Block Group 4, Census Tract 388, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038800> block group:4",73,28,,,,,,,,,,1197,36.3,31.5,-666666666.0,25.9,-666666666.0,38.6,-666666666.0,35.6
"Block Group 4, Census Tract 391, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:039100> block group:4",50,21,,,,,,,,,,481,56.0,51.9,-666666666.0,50.7,-666666666.0,-666666666.0,27.4,56.0
"Block Group 2, Census Tract 311, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:031100> block group:2",80,39,,,,,,,,,,1113,53.2,44.3,-666666666.0,-666666666.0,-666666666.0,28.2,-666666666.0,53.8
"Block Group 2, Census Tract 316.01, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:031601> block group:2",74,37,,,,,,,,,,1201,39.9,35.5,-666666666.0,35.0,-666666666.0,38.2,66.2,63.4
"Block Group 5, Census Tract 380, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038000> block group:5",132,48,,,,,,,,,,1506,33.6,40.3,-666666666.0,28.9,-666666666.0,34.4,-666666666.0,33.7
"Block Group 1, Census Tract 380, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038000> block group:1",75,33,,,,,,,,,,840,42.3,46.6,-666666666.0,-666666666.0,-666666666.0,7.9,-666666666.0,46.1
"Block Group 2, Census Tract 380, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:038000> block group:2",85,33,,,,,,,,,,1117,44.6,57.6,-666666666.0,44.8,-666666666.0,40.3,-666666666.0,39.5
"Block Group 2, Census Tract 379, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037900> block group:2",152,52,,,,,,,,,,1428,44.8,39.6,-666666666.0,43.9,-666666666.0,-666666666.0,13.6,44.6
"Block Group 3, Census Tract 379, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037900> block group:3",121,38,,,,,,,,,,1064,36.0,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 2, Census Tract 355, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035500> block group:2",56,21,,,,,,,,,,1422,34.3,38.4,-666666666.0,-666666666.0,-666666666.0,29.0,5.5,49.0
"Block Group 4, Census Tract 355, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035500> block group:4",30,19,,,,,,,,,,759,55.5,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.0
"Block Group 6, Census Tract 355, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035500> block group:6",40,14,,,,,,,,,,1029,44.5,30.4,-666666666.0,-666666666.0,-666666666.0,16.7,2.8,38.6
"Block Group 1, Census Tract 355, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035500> block group:1",31,12,,,,,,,,,,630,50.9,-666666666.0,-666666666.0,9.4,-666666666.0,56.3,-666666666.0,52.1
"Block Group 5, Census Tract 355, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035500> block group:5",31,13,,,,,,,,,,630,45.7,30.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.1,47.7
"Block Group 2, Census Tract 359, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035900> block group:2",83,47,,,,,,,,,,1214,30.8,23.4,-666666666.0,37.0,-666666666.0,-666666666.0,-666666666.0,31.7
"Block Group 3, Census Tract 359, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:035900> block group:3",110,39,,,,,,,,,,1299,32.9,46.6,-666666666.0,2.9,-666666666.0,40.3,17.9,38.5
"Block Group 4, Census Tract 372, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037200> block group:4",106,57,,,,,,,,,,1107,54.0,70.9,-666666666.0,35.8,-666666666.0,-666666666.0,5.0,52.8
"Block Group 3, Census Tract 372, Union County, New Jersey: Summary level: 150, state:34> county:039> tract:037200> block group:3",95,40,,,,,,,,,,1069,43.7,25.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
