,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 20, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:002000> block group:2",100.0,48.0,,,,,,,,,,1240,35.4,-666666666.0,15.7,-666666666.0,-666666666.0,21.5,27.5,38.9
"Block Group 2, Census Tract 37.07, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:003707> block group:2",81.0,30.0,,,,,,,,,,938,51.8,-666666666.0,-666666666.0,35.3,-666666666.0,42.9,8.9,57.4
"Block Group 3, Census Tract 37.07, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:003707> block group:3",106.0,59.0,,,,,,,,,,2003,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.6,33.2,47.5
"Block Group 1, Census Tract 9406, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:940600> block group:1",537.0,80.0,,,,,,,,,,6704,31.2,37.4,36.1,38.1,-666666666.0,35.7,17.8,32.9
"Block Group 1, Census Tract 9407, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:940700> block group:1",420.0,197.0,,,,,,,,,,2789,42.7,-666666666.0,34.8,61.3,-666666666.0,33.3,18.9,51.0
"Block Group 2, Census Tract 9406, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:940600> block group:2",433.0,166.0,,,,,,,,,,1513,50.8,21.8,27.7,-666666666.0,-666666666.0,-666666666.0,18.3,-666666666.0
"Block Group 3, Census Tract 9406, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:940600> block group:3",94.0,28.0,,,,,,,,,,2416,26.5,-666666666.0,-666666666.0,36.3,-666666666.0,54.9,17.6,31.0
"Block Group 4, Census Tract 9406, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:940600> block group:4",,,,,,,,,,,,81,18.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 37.17, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:003717> block group:4",46.0,21.0,,,,,,,,,,650,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.2
"Block Group 1, Census Tract 38.03, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:003803> block group:1",172.0,84.0,,,,,,,,,,2196,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9
"Block Group 1, Census Tract 1.22, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000122> block group:1",40.0,19.0,,,,,,,,,,501,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.2
"Block Group 4, Census Tract 1.22, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000122> block group:4",85.0,48.0,,,,,,,,,,1593,44.4,72.3,-666666666.0,29.6,-666666666.0,47.1,-666666666.0,48.7
"Block Group 2, Census Tract 1.22, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000122> block group:2",45.0,22.0,,,,,,,,,,937,36.1,79.0,20.9,-666666666.0,-666666666.0,-666666666.0,64.1,53.8
"Block Group 2, Census Tract 2.03, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000203> block group:2",112.0,58.0,,,,,,,,,,872,33.7,59.1,13.2,48.4,-666666666.0,40.6,40.1,45.8
"Block Group 1, Census Tract 4.02, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000402> block group:1",66.0,37.0,,,,,,,,,,727,54.2,-666666666.0,-666666666.0,38.1,-666666666.0,-666666666.0,24.5,54.2
"Block Group 2, Census Tract 4.02, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000402> block group:2",64.0,33.0,,,,,,,,,,654,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8,-666666666.0,44.3
"Block Group 2, Census Tract 7.04, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000704> block group:2",74.0,39.0,,,,,,,,,,1243,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0,-666666666.0,41.6
"Block Group 3, Census Tract 7.04, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000704> block group:3",146.0,68.0,,,,,,,,,,1713,43.9,-666666666.0,-666666666.0,22.9,-666666666.0,32.8,52.0,49.2
"Block Group 3, Census Tract 7.13, Bernalillo County, New Mexico: Summary level: 150, state:35> county:001> tract:000713> block group:3",29.0,17.0,,,,,,,,,,570,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
