,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9742.01, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974201> block group:1",113,50,,,,,,,,,,1814,30.9,-666666666.0,15.5,-666666666.0,-666666666.0,35.1,52.3,33.8
"Block Group 3, Census Tract 9742.01, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974201> block group:3",141,30,,,,,,,,,,1999,40.3,-666666666.0,8.7,-666666666.0,-666666666.0,35.0,28.1,41.9
"Block Group 2, Census Tract 9458, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:945800> block group:2",303,139,,,,,,,,,,1099,60.4,-666666666.0,32.4,-666666666.0,-666666666.0,-666666666.0,5.5,60.7
"Block Group 2, Census Tract 9415, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:941500> block group:2",432,152,,,,,,,,,,2500,32.6,-666666666.0,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 1, Census Tract 9744, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974400> block group:1",87,38,,,,,,,,,,1125,49.2,-666666666.0,53.5,-666666666.0,-666666666.0,23.9,5.8,57.9
"Block Group 3, Census Tract 9744, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974400> block group:3",82,38,,,,,,,,,,913,55.2,-666666666.0,74.1,-666666666.0,-666666666.0,21.6,35.6,67.1
"Block Group 2, Census Tract 9744, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974400> block group:2",125,71,,,,,,,,,,1661,46.5,-666666666.0,13.9,-666666666.0,-666666666.0,25.5,-666666666.0,53.6
"Block Group 3, Census Tract 9742.02, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974202> block group:3",99,40,,,,,,,,,,1435,41.4,25.8,13.9,-666666666.0,-666666666.0,39.5,-666666666.0,41.2
"Block Group 2, Census Tract 9742.02, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974202> block group:2",71,32,,,,,,,,,,939,49.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3,30.5,55.3
"Block Group 2, Census Tract 9747, Cibola County, New Mexico: Summary level: 150, state:35> county:006> tract:974700> block group:2",129,23,,,,,,,,,,1426,34.2,32.5,23.7,-666666666.0,-666666666.0,42.9,-666666666.0,55.6
