,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9506, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950600> block group:1",71,37,,,,,,,,,,928,57.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.8,-666666666.0,62.5
"Block Group 4, Census Tract 9506, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950600> block group:4",50,30,,,,,,,,,,713,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.4
"Block Group 2, Census Tract 9506, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950600> block group:2",51,30,,,,,,,,,,647,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.4,-666666666.0,65.4
"Block Group 3, Census Tract 9507, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950700> block group:3",156,144,,,,,,,,,,1377,58.7,-666666666.0,32.0,19.1,-666666666.0,45.1,17.9,59.0
"Block Group 4, Census Tract 9507, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950700> block group:4",171,94,,,,,,,,,,948,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9,-666666666.0,57.0
"Block Group 1, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:1",36,21,,,,,,,,,,570,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,74.3
"Block Group 2, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:2",34,23,,,,,,,,,,503,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,74.5,44.4
"Block Group 3, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:3",35,26,,,,,,,,,,563,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 4, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:4",48,28,,,,,,,,,,626,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.6
"Block Group 5, Census Tract 9507, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950700> block group:5",134,288,,,,,,,,,,1071,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.8,-666666666.0,51.5
"Block Group 5, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:5",95,42,,,,,,,,,,1285,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.1,26.7,55.7
"Block Group 6, Census Tract 9505, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950500> block group:6",64,24,,,,,,,,,,646,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.9,-666666666.0,39.3
"Block Group 3, Census Tract 9506, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950600> block group:3",47,24,,,,,,,,,,505,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3,-666666666.0,30.3
"Block Group 5, Census Tract 9506, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950600> block group:5",53,31,,,,,,,,,,549,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.6,-666666666.0,58.3
"Block Group 1, Census Tract 9507, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950700> block group:1",197,126,,,,,,,,,,1005,55.9,35.6,35.7,-666666666.0,-666666666.0,44.4,38.6,59.7
"Block Group 2, Census Tract 9507, Colfax County, New Mexico: Summary level: 150, state:35> county:007> tract:950700> block group:2",148,85,,,,,,,,,,1061,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6,1.9,54.3
