,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9572, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957200> block group:2",55,24,,,,,,,,,,715,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1,-666666666.0,12.5
"Block Group 1, Census Tract 9572, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957200> block group:1",190,87,,,,,,,,,,3108,30.1,2.9,-666666666.0,-666666666.0,-666666666.0,28.6,17.4,37.7
"Block Group 1, Census Tract 9574, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957400> block group:1",76,31,,,,,,,,,,903,37.2,22.5,20.1,-666666666.0,-666666666.0,50.8,21.0,36.3
"Block Group 2, Census Tract 9574, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957400> block group:2",40,30,,,,,,,,,,415,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,-666666666.0,78.0
"Block Group 3, Census Tract 9574, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957400> block group:3",92,47,,,,,,,,,,1370,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2,55.7,55.0
"Block Group 4, Census Tract 9575, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957500> block group:4",44,33,,,,,,,,,,903,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.9,-666666666.0,71.3
"Block Group 3, Census Tract 9572, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957200> block group:3",50,31,,,,,,,,,,460,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,89.1,-666666666.0,62.3
"Block Group 4, Census Tract 9574, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957400> block group:4",120,40,,,,,,,,,,1496,40.2,-666666666.0,57.1,-666666666.0,-666666666.0,51.4,69.8,55.7
"Block Group 1, Census Tract 9576, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957600> block group:1",62,36,,,,,,,,,,2071,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6,-666666666.0,65.0
"Block Group 1, Census Tract 9573, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957300> block group:1",64,29,,,,,,,,,,862,40.8,23.1,-666666666.0,-666666666.0,-666666666.0,38.0,-666666666.0,40.1
"Block Group 1, Census Tract 9577, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957700> block group:1",58,48,,,,,,,,,,1183,58.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8,-666666666.0,51.5
"Block Group 3, Census Tract 9575, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957500> block group:3",105,42,,,,,,,,,,1415,41.4,15.9,-666666666.0,31.5,-666666666.0,39.2,15.8,43.2
"Block Group 2, Census Tract 9576, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957600> block group:2",57,54,,,,,,,,,,1501,52.5,5.1,-666666666.0,-666666666.0,-666666666.0,40.1,-666666666.0,57.8
"Block Group 1, Census Tract 9578, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957800> block group:1",91,46,,,,,,,,,,1960,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1,-666666666.0,57.8
"Block Group 4, Census Tract 9573, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957300> block group:4",85,13,,,,,,,,,,648,21.5,19.5,21.0,19.0,-666666666.0,19.7,20.8,21.9
"Block Group 2, Census Tract 9573, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957300> block group:2",80,45,,,,,,,,,,997,46.3,25.1,-666666666.0,-666666666.0,-666666666.0,53.7,-666666666.0,43.4
"Block Group 3, Census Tract 9573, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957300> block group:3",41,24,,,,,,,,,,640,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.8,-666666666.0,55.7
"Block Group 2, Census Tract 9577, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957700> block group:2",53,42,,,,,,,,,,1046,60.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2,-666666666.0,60.4
"Block Group 1, Census Tract 9575, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957500> block group:1",33,65,,,,,,,,,,629,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.4,-666666666.0,51.5
"Block Group 2, Census Tract 9575, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957500> block group:2",70,57,,,,,,,,,,1231,60.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7,-666666666.0,64.2
"Block Group 2, Census Tract 9578, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957800> block group:2",76,39,,,,,,,,,,1177,39.3,-666666666.0,12.4,-666666666.0,-666666666.0,48.8,48.8,57.5
"Block Group 3, Census Tract 9576, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957600> block group:3",119,74,,,,,,,,,,2352,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,-666666666.0,62.4
"Block Group 3, Census Tract 9578, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957800> block group:3",92,15,,,,,,,,,,1098,54.1,47.4,29.4,-666666666.0,-666666666.0,27.8,-666666666.0,56.3
"Block Group 4, Census Tract 9578, San Miguel County, New Mexico: Summary level: 150, state:35> county:047> tract:957800> block group:4",38,29,,,,,,,,,,488,57.0,16.3,-666666666.0,-666666666.0,-666666666.0,68.5,50.3,64.6
