,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 106.01, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010601> block group:1",214,85,,,,,,,,,,2138,46.9,-666666666.0,56.1,-666666666.0,-666666666.0,43.6,29.9,51.4
"Block Group 2, Census Tract 106.01, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010601> block group:2",200,88,,,,,,,,,,2320,51.9,-666666666.0,63.1,6.8,-666666666.0,49.2,12.6,52.4
"Block Group 3, Census Tract 107.12, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010712> block group:3",104,46,,,,,,,,,,1191,49.6,89.4,49.6,-666666666.0,-666666666.0,40.5,10.8,50.5
"Block Group 1, Census Tract 107.14, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010714> block group:1",307,137,,,,,,,,,,3416,43.1,50.2,-666666666.0,46.9,-666666666.0,42.1,20.6,49.0
"Block Group 2, Census Tract 9405, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:940500> block group:2",847,355,,,,,,,,,,1957,41.3,-666666666.0,25.3,-666666666.0,-666666666.0,31.2,24.2,52.2
"Block Group 3, Census Tract 9405, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:940500> block group:3",631,246,,,,,,,,,,1450,39.9,35.1,27.8,-666666666.0,-666666666.0,36.2,20.5,54.5
"Block Group 3, Census Tract 105.03, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010503> block group:3",68,29,,,,,,,,,,769,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,19.5,56.5
"Block Group 2, Census Tract 106.02, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010602> block group:2",148,72,,,,,,,,,,1566,55.0,-666666666.0,67.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.9
"Block Group 4, Census Tract 107.16, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010716> block group:4",115,51,,,,,,,,,,2158,52.1,-666666666.0,83.3,41.6,-666666666.0,50.8,-666666666.0,58.9
"Block Group 2, Census Tract 107.16, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010716> block group:2",47,21,,,,,,,,,,933,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3,-666666666.0,40.0
"Block Group 2, Census Tract 107.15, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010715> block group:2",89,48,,,,,,,,,,932,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,84.2,-666666666.0,59.4
"Block Group 2, Census Tract 107.20, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010720> block group:2",164,51,,,,,,,,,,3459,33.6,36.5,-666666666.0,43.1,-666666666.0,14.3,-666666666.0,37.6
"Block Group 1, Census Tract 107.20, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010720> block group:1",176,65,,,,,,,,,,3550,40.6,11.8,-666666666.0,38.5,-666666666.0,31.7,8.1,41.7
"Block Group 1, Census Tract 107.17, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010717> block group:1",94,40,,,,,,,,,,1933,39.9,-666666666.0,18.8,-666666666.0,-666666666.0,33.6,14.9,39.3
"Block Group 3, Census Tract 107.17, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010717> block group:3",60,30,,,,,,,,,,1203,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.6,50.4
"Block Group 2, Census Tract 107.13, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010713> block group:2",85,40,,,,,,,,,,1198,33.7,-666666666.0,21.0,-666666666.0,-666666666.0,-666666666.0,17.6,49.1
"Block Group 4, Census Tract 107.13, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010713> block group:4",78,38,,,,,,,,,,1025,47.3,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.3,61.1
"Block Group 1, Census Tract 107.16, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010716> block group:1",101,52,,,,,,,,,,2183,55.6,41.2,-666666666.0,-666666666.0,-666666666.0,61.4,-666666666.0,56.0
"Block Group 2, Census Tract 107.02, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010702> block group:2",114,47,,,,,,,,,,1895,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.2,-666666666.0,46.8
"Block Group 2, Census Tract 107.05, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010705> block group:2",48,22,,,,,,,,,,1200,44.4,-666666666.0,19.4,-666666666.0,-666666666.0,8.0,-666666666.0,53.3
"Block Group 1, Census Tract 107.05, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010705> block group:1",109,47,,,,,,,,,,2040,51.4,-666666666.0,22.3,-666666666.0,-666666666.0,45.3,9.4,59.3
"Block Group 4, Census Tract 107.05, Sandoval County, New Mexico: Summary level: 150, state:35> county:043> tract:010705> block group:4",63,27,,,,,,,,,,1432,24.9,-666666666.0,46.4,-666666666.0,-666666666.0,70.5,-666666666.0,38.5
