,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 11.05, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:001105> block group:2",68,31,,,,,,,,,,941,52.3,-666666666.0,49.1,-666666666.0,-666666666.0,-666666666.0,11.9,49.2
"Block Group 1, Census Tract 101.02, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010102> block group:1",88,49,,,,,,,,,,1523,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2,-666666666.0,56.0
"Block Group 1, Census Tract 103.08, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010308> block group:1",207,75,,,,,,,,,,1738,27.3,-666666666.0,42.7,-666666666.0,-666666666.0,39.7,-666666666.0,33.3
"Block Group 1, Census Tract 107, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010700> block group:1",74,36,,,,,,,,,,1375,59.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,74.0,-666666666.0,60.1
"Block Group 2, Census Tract 107, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010700> block group:2",118,58,,,,,,,,,,1881,56.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.5
"Block Group 1, Census Tract 108, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010800> block group:1",48,25,,,,,,,,,,811,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.4,-666666666.0,43.4
"Block Group 1, Census Tract 12.03, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:001203> block group:1",156,50,,,,,,,,,,1643,27.5,-666666666.0,13.0,-666666666.0,-666666666.0,25.5,30.5,34.6
"Block Group 2, Census Tract 12.03, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:001203> block group:2",161,84,,,,,,,,,,1057,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.8,50.7,54.2
"Block Group 1, Census Tract 105, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010500> block group:1",154,96,,,,,,,,,,921,64.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4,-666666666.0,64.8
"Block Group 1, Census Tract 9404, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:940400> block group:1",544,254,,,,,,,,,,1261,53.2,-666666666.0,28.5,-666666666.0,-666666666.0,60.2,26.2,61.4
"Block Group 2, Census Tract 106.02, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010602> block group:2",89,53,,,,,,,,,,1118,56.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 1, Census Tract 109, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010900> block group:1",221,107,,,,,,,,,,2617,48.9,-666666666.0,31.5,-666666666.0,-666666666.0,47.3,-666666666.0,62.4
"Block Group 2, Census Tract 103.15, Santa Fe County, New Mexico: Summary level: 150, state:35> county:049> tract:010315> block group:2",72,28,,,,,,,,,,1012,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,-666666666.0,48.6
