,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:2",135,72,,,,,,,,,,493,33.9,-666666666.0,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 3, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:3",416,202,,,,,,,,,,1250,40.1,27.3,20.2,-666666666.0,-666666666.0,34.4,28.5,40.3
"Block Group 5, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:5",495,230,,,,,,,,,,1472,34.8,16.9,28.0,-666666666.0,-666666666.0,-666666666.0,13.3,34.0
"Block Group 6, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:6",492,216,,,,,,,,,,1610,39.4,7.3,22.8,29.0,-666666666.0,9.3,19.5,42.1
"Block Group 4, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:4",270,154,,,,,,,,,,891,52.2,31.2,17.9,-666666666.0,-666666666.0,-666666666.0,23.5,52.4
"Block Group 1, Census Tract 9403, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940300> block group:1",168,86,,,,,,,,,,578,45.3,-666666666.0,24.5,-666666666.0,-666666666.0,-666666666.0,12.6,45.3
"Block Group 4, Census Tract 9607.02, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:960702> block group:4",235,161,,,,,,,,,,627,56.8,-666666666.0,49.3,-666666666.0,-666666666.0,-666666666.0,18.1,56.9
"Block Group 1, Census Tract 9607.02, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:960702> block group:1",175,90,,,,,,,,,,915,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.5,50.8
"Block Group 1, Census Tract 9400, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:940000> block group:1",27,11,,,,,,,,,,227,-666666666.0,-666666666.0,41.6,25.7,-666666666.0,-666666666.0,16.1,-666666666.0
"Block Group 1, Census Tract 9604, Cattaraugus County, New York: Summary level: 150, state:36> county:009> tract:960400> block group:1",177,73,,,,,,,,,,1020,48.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
