,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 412, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041200> block group:1",209,112,,,,,,,,,,689,43.3,52.3,61.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 4, Census Tract 412, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041200> block group:4",131,66,,,,,,,,,,702,45.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.6,45.6
"Block Group 5, Census Tract 412, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041200> block group:5",348,176,,,,,,,,,,1700,45.3,43.3,-666666666.0,-666666666.0,-666666666.0,16.6,19.3,45.3
"Block Group 1, Census Tract 415, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041500> block group:1",75,33,,,,,,,,,,619,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 415, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041500> block group:3",46,24,,,,,,,,,,509,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 4, Census Tract 415, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041500> block group:4",59,29,,,,,,,,,,1057,24.8,50.4,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.8
"Block Group 5, Census Tract 418, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041800> block group:5",42,19,,,,,,,,,,716,38.8,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.6,38.8
"Block Group 2, Census Tract 418, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041800> block group:2",86,37,,,,,,,,,,1927,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8
"Block Group 1, Census Tract 418, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041800> block group:1",47,18,,,,,,,,,,761,61.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1
"Block Group 1, Census Tract 417, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041700> block group:1",43,28,,,,,,,,,,653,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 3, Census Tract 417, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041700> block group:3",106,49,,,,,,,,,,1256,32.9,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,32.4
"Block Group 2, Census Tract 417, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041700> block group:2",58,30,,,,,,,,,,753,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 1, Census Tract 408, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040800> block group:1",332,189,,,,,,,,,,1160,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,49.7
"Block Group 3, Census Tract 408, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040800> block group:3",347,109,,,,,,,,,,2086,39.8,37.6,-666666666.0,-666666666.0,-666666666.0,49.3,26.0,40.2
"Block Group 1, Census Tract 409, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040900> block group:1",311,144,,,,,,,,,,935,41.1,-666666666.0,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 2, Census Tract 409, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040900> block group:2",320,129,,,,,,,,,,1261,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 3, Census Tract 409, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040900> block group:3",199,90,,,,,,,,,,846,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 1, Census Tract 414, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041400> block group:1",76,52,,,,,,,,,,1334,60.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.5,60.9
"Block Group 4, Census Tract 414, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041400> block group:4",76,35,,,,,,,,,,1315,44.2,15.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 1, Census Tract 416, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041600> block group:1",82,36,,,,,,,,,,944,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.2
"Block Group 5, Census Tract 410, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041000> block group:5",189,107,,,,,,,,,,661,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 2, Census Tract 410, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041000> block group:2",268,118,,,,,,,,,,1122,30.1,20.4,-666666666.0,20.5,-666666666.0,16.4,20.4,30.2
"Block Group 1, Census Tract 410, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041000> block group:1",237,121,,,,,,,,,,673,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5,51.0
"Block Group 3, Census Tract 410, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041000> block group:3",339,145,,,,,,,,,,1361,41.4,58.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 1, Census Tract 401, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040100> block group:1",191,150,,,,,,,,,,854,56.2,23.8,-666666666.0,10.5,-666666666.0,-666666666.0,-666666666.0,56.2
"Block Group 3, Census Tract 401, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040100> block group:3",100,43,,,,,,,,,,1436,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 3, Census Tract 413, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041300> block group:3",56,27,,,,,,,,,,834,28.7,25.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.1,28.7
"Block Group 4, Census Tract 413, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041300> block group:4",51,22,,,,,,,,,,597,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 1, Census Tract 413, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041300> block group:1",47,33,,,,,,,,,,490,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0,54.3
"Block Group 2, Census Tract 416, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041600> block group:2",61,28,,,,,,,,,,571,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 2, Census Tract 405, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040500> block group:2",310,134,,,,,,,,,,1191,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.3,49.7
"Block Group 3, Census Tract 405, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040500> block group:3",198,76,,,,,,,,,,797,43.3,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.5,43.3
"Block Group 1, Census Tract 402, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040200> block group:1",222,79,,,,,,,,,,1273,31.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.5,-666666666.0,32.4
"Block Group 4, Census Tract 403, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040300> block group:4",302,127,,,,,,,,,,1692,35.8,16.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.2,36.0
"Block Group 3, Census Tract 402, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040200> block group:3",319,149,,,,,,,,,,1660,45.2,-666666666.0,37.4,14.5,-666666666.0,-666666666.0,13.3,45.3
"Block Group 1, Census Tract 403, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040300> block group:1",169,89,,,,,,,,,,574,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 3, Census Tract 403, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040300> block group:3",144,67,,,,,,,,,,777,50.2,46.7,-666666666.0,-666666666.0,-666666666.0,27.0,-666666666.0,50.2
"Block Group 3, Census Tract 404, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040400> block group:3",215,98,,,,,,,,,,1741,41.4,-666666666.0,-666666666.0,18.6,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 2, Census Tract 404, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040400> block group:2",153,67,,,,,,,,,,1011,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 4, Census Tract 411, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041100> block group:4",247,94,,,,,,,,,,881,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 3, Census Tract 411, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041100> block group:3",212,101,,,,,,,,,,856,37.0,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.7,36.3
"Block Group 1, Census Tract 406, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040600> block group:1",241,75,,,,,,,,,,2079,40.4,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 3, Census Tract 407, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040700> block group:3",119,50,,,,,,,,,,1073,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 1, Census Tract 407, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040700> block group:1",70,29,,,,,,,,,,591,54.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 4, Census Tract 401, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040100> block group:4",225,100,,,,,,,,,,923,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1,48.9
"Block Group 4, Census Tract 402, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040200> block group:4",192,84,,,,,,,,,,950,43.1,6.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1
"Block Group 3, Census Tract 414, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041400> block group:3",65,34,,,,,,,,,,980,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 4, Census Tract 417, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041700> block group:4",79,41,,,,,,,,,,817,55.5,34.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 5, Census Tract 417, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041700> block group:5",56,29,,,,,,,,,,508,58.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.5
"Block Group 2, Census Tract 408, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040800> block group:2",277,123,,,,,,,,,,1471,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.9,46.7
"Block Group 4, Census Tract 409, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040900> block group:4",198,85,,,,,,,,,,956,37.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6
"Block Group 2, Census Tract 414, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041400> block group:2",88,26,,,,,,,,,,959,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.3,48.0
"Block Group 1, Census Tract 421, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:042100> block group:1",116,55,,,,,,,,,,1276,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.2,42.1
"Block Group 2, Census Tract 412, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041200> block group:2",225,100,,,,,,,,,,1398,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2
"Block Group 3, Census Tract 412, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041200> block group:3",171,74,,,,,,,,,,664,49.5,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 2, Census Tract 415, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041500> block group:2",63,25,,,,,,,,,,643,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 4, Census Tract 418, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041800> block group:4",74,18,,,,,,,,,,1238,57.9,22.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.9,57.9
"Block Group 3, Census Tract 418, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041800> block group:3",40,19,,,,,,,,,,730,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 4, Census Tract 410, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041000> block group:4",269,122,,,,,,,,,,1148,32.7,-666666666.0,6.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.0
"Block Group 2, Census Tract 401, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040100> block group:2",111,53,,,,,,,,,,744,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1,44.5
"Block Group 5, Census Tract 401, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040100> block group:5",181,73,,,,,,,,,,785,39.9,-666666666.0,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 2, Census Tract 413, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041300> block group:2",111,42,,,,,,,,,,1257,40.2,12.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 5, Census Tract 413, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041300> block group:5",70,30,,,,,,,,,,731,32.0,-666666666.0,-666666666.0,44.3,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 3, Census Tract 416, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041600> block group:3",77,40,,,,,,,,,,770,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.4,36.6
"Block Group 1, Census Tract 405, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040500> block group:1",424,170,,,,,,,,,,1356,45.3,-666666666.0,64.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 2, Census Tract 402, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040200> block group:2",151,64,,,,,,,,,,993,40.7,61.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.6,40.4
"Block Group 2, Census Tract 403, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040300> block group:2",264,107,,,,,,,,,,964,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.9,44.6
"Block Group 1, Census Tract 404, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040400> block group:1",278,125,,,,,,,,,,1648,46.6,-666666666.0,-666666666.0,24.6,-666666666.0,-666666666.0,33.8,46.7
"Block Group 2, Census Tract 411, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041100> block group:2",312,144,,,,,,,,,,1911,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.4,-666666666.0,53.2
"Block Group 1, Census Tract 411, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:041100> block group:1",113,48,,,,,,,,,,706,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 2, Census Tract 406, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040600> block group:2",144,62,,,,,,,,,,1513,50.0,55.5,-666666666.0,66.8,-666666666.0,-666666666.0,12.7,50.0
"Block Group 2, Census Tract 407, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040700> block group:2",121,51,,,,,,,,,,1371,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 3, Census Tract 421, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:042100> block group:3",319,26,,,,,,,,,,2161,42.5,37.0,-666666666.0,40.9,-666666666.0,42.6,25.3,45.6
"Block Group 2, Census Tract 421, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:042100> block group:2",62,31,,,,,,,,,,858,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.1,30.0
"Block Group 0, Census Tract 9902, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:990200> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 407, Cayuga County, New York: Summary level: 150, state:36> county:011> tract:040700> block group:4",61,35,,,,,,,,,,726,56.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.5
