,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9703, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970300> block group:3",88,36,,,,,,,,,,863,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 4, Census Tract 9703, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970300> block group:4",64,31,,,,,,,,,,623,30.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.4,30.7
"Block Group 5, Census Tract 9703, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970300> block group:5",111,44,,,,,,,,,,1034,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 1, Census Tract 9704, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970400> block group:1",43,28,,,,,,,,,,548,37.0,19.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 3, Census Tract 9704, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970400> block group:3",88,43,,,,,,,,,,1037,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5
"Block Group 4, Census Tract 9704, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970400> block group:4",66,27,,,,,,,,,,703,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.8,27.4
"Block Group 4, Census Tract 9708.02, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970802> block group:4",168,84,,,,,,,,,,957,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 3, Census Tract 9708.02, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970802> block group:3",151,80,,,,,,,,,,970,46.1,55.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.1,44.3
"Block Group 4, Census Tract 9708.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970801> block group:4",112,49,,,,,,,,,,1234,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 9708.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970801> block group:2",231,111,,,,,,,,,,1112,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.3,40.9
"Block Group 2, Census Tract 9701, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970100> block group:2",219,119,,,,,,,,,,1098,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 3, Census Tract 9701, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970100> block group:3",284,132,,,,,,,,,,1440,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 4, Census Tract 9701, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970100> block group:4",257,110,,,,,,,,,,925,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 1, Census Tract 9701, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970100> block group:1",287,141,,,,,,,,,,2377,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 6, Census Tract 9705, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970500> block group:6",124,56,,,,,,,,,,777,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.7,55.8
"Block Group 1, Census Tract 9705, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970500> block group:1",274,128,,,,,,,,,,1256,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.8,39.0
"Block Group 4, Census Tract 9705, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970500> block group:4",91,47,,,,,,,,,,507,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,53.2
"Block Group 3, Census Tract 9710, Chenango County, New York: Summary level: 150, state:36> county:017> tract:971000> block group:3",146,73,,,,,,,,,,1119,44.8,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 9710, Chenango County, New York: Summary level: 150, state:36> county:017> tract:971000> block group:1",125,64,,,,,,,,,,1061,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 2, Census Tract 9702, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970200> block group:2",333,165,,,,,,,,,,1215,41.6,-666666666.0,16.4,-666666666.0,-666666666.0,-666666666.0,8.4,41.5
"Block Group 4, Census Tract 9702, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970200> block group:4",139,103,,,,,,,,,,549,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.3,42.8
"Block Group 1, Census Tract 9702, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970200> block group:1",170,90,,,,,,,,,,575,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 5, Census Tract 9702, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970200> block group:5",223,152,,,,,,,,,,574,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,76.8,-666666666.0,42.8
"Block Group 3, Census Tract 9707, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970700> block group:3",204,94,,,,,,,,,,932,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8,44.1
"Block Group 2, Census Tract 9707, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970700> block group:2",247,164,,,,,,,,,,694,51.7,-666666666.0,-666666666.0,30.5,-666666666.0,-666666666.0,36.2,51.6
"Block Group 2, Census Tract 9706.02, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970602> block group:2",166,70,,,,,,,,,,861,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 1, Census Tract 9706.02, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970602> block group:1",136,59,,,,,,,,,,1399,57.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,-666666666.0,57.3
"Block Group 3, Census Tract 9706.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970601> block group:3",298,129,,,,,,,,,,1662,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 1, Census Tract 9706.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970601> block group:1",65,37,,,,,,,,,,740,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7
"Block Group 2, Census Tract 9706.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970601> block group:2",159,55,,,,,,,,,,1076,33.1,25.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.6,33.1
"Block Group 2, Census Tract 9703, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970300> block group:2",53,24,,,,,,,,,,692,31.2,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5,31.2
"Block Group 3, Census Tract 9708.01, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970801> block group:3",95,45,,,,,,,,,,542,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
"Block Group 2, Census Tract 9705, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970500> block group:2",99,62,,,,,,,,,,894,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.4
"Block Group 1, Census Tract 9707, Chenango County, New York: Summary level: 150, state:36> county:017> tract:970700> block group:1",161,86,,,,,,,,,,730,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
