,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 108.08, Erie County, New York: Summary level: 150, state:36> county:029> tract:010808> block group:2",157.0,79.0,,,,,,,,,,2103,47.5,26.3,-666666666.0,30.3,-666666666.0,24.6,30.1,47.6
"Block Group 1, Census Tract 108.08, Erie County, New York: Summary level: 150, state:36> county:029> tract:010808> block group:1",137.0,58.0,,,,,,,,,,1471,50.6,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 1, Census Tract 142.09, Erie County, New York: Summary level: 150, state:36> county:029> tract:014209> block group:1",133.0,55.0,,,,,,,,,,1279,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 2, Census Tract 58.01, Erie County, New York: Summary level: 150, state:36> county:029> tract:005801> block group:2",73.0,35.0,,,,,,,,,,1006,36.2,39.1,-666666666.0,-666666666.0,-666666666.0,82.1,-666666666.0,36.8
"Block Group 1, Census Tract 58.01, Erie County, New York: Summary level: 150, state:36> county:029> tract:005801> block group:1",115.0,53.0,,,,,,,,,,1385,39.7,-666666666.0,-666666666.0,25.0,-666666666.0,38.3,10.1,39.7
"Block Group 2, Census Tract 175.02, Erie County, New York: Summary level: 150, state:36> county:029> tract:017502> block group:2",216.0,89.0,,,,,,,,,,1217,46.0,78.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,46.0
"Block Group 1, Census Tract 175.02, Erie County, New York: Summary level: 150, state:36> county:029> tract:017502> block group:1",154.0,68.0,,,,,,,,,,1244,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 1, Census Tract 78, Erie County, New York: Summary level: 150, state:36> county:029> tract:007800> block group:1",61.0,25.0,,,,,,,,,,1226,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.2,46.1
"Block Group 4, Census Tract 65.01, Erie County, New York: Summary level: 150, state:36> county:029> tract:006501> block group:4",42.0,17.0,,,,,,,,,,709,29.9,13.1,-666666666.0,14.6,-666666666.0,-666666666.0,-666666666.0,29.1
"Block Group 1, Census Tract 71.02, Erie County, New York: Summary level: 150, state:36> county:029> tract:007102> block group:1",129.0,49.0,,,,,,,,,,1634,58.8,34.1,-666666666.0,-666666666.0,-666666666.0,24.0,8.5,64.8
"Block Group 3, Census Tract 76, Erie County, New York: Summary level: 150, state:36> county:029> tract:007600> block group:3",96.0,46.0,,,,,,,,,,1128,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 3, Census Tract 79.05, Erie County, New York: Summary level: 150, state:36> county:029> tract:007905> block group:3",95.0,43.0,,,,,,,,,,1725,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 80.01, Erie County, New York: Summary level: 150, state:36> county:029> tract:008001> block group:1",46.0,23.0,,,,,,,,,,704,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
