,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 807, Greene County, New York: Summary level: 150, state:36> county:039> tract:080700> block group:3",114,53,,,,,,,,,,1216,38.8,8.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 2, Census Tract 807, Greene County, New York: Summary level: 150, state:36> county:039> tract:080700> block group:2",91,43,,,,,,,,,,796,42.2,71.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.7,42.3
"Block Group 1, Census Tract 802.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:080202> block group:1",150,98,,,,,,,,,,1371,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 1, Census Tract 805.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:080502> block group:1",92,43,,,,,,,,,,1351,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 2, Census Tract 805.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:080502> block group:2",31,23,,,,,,,,,,495,59.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.2
"Block Group 2, Census Tract 811.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:081102> block group:2",37,21,,,,,,,,,,598,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 3, Census Tract 805.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:080502> block group:3",55,33,,,,,,,,,,945,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 1, Census Tract 804.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:080402> block group:1",275,273,,,,,,,,,,1234,57.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.7,58.4
"Block Group 1, Census Tract 811.02, Greene County, New York: Summary level: 150, state:36> county:039> tract:081102> block group:1",118,45,,,,,,,,,,1297,61.2,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.9,61.1
"Block Group 2, Census Tract 811.01, Greene County, New York: Summary level: 150, state:36> county:039> tract:081101> block group:2",49,27,,,,,,,,,,760,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
