,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 105.01, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010501> block group:2",91,44,,,,,,,,,,792,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 3, Census Tract 103, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010300> block group:3",90,37,,,,,,,,,,1536,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 1, Census Tract 103, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010300> block group:1",63,21,,,,,,,,,,1027,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.0,-666666666.0,39.7
"Block Group 2, Census Tract 103, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010300> block group:2",79,30,,,,,,,,,,1343,28.7,-666666666.0,-666666666.0,36.3,-666666666.0,16.0,0.0,28.7
"Block Group 3, Census Tract 104, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010400> block group:3",80,41,,,,,,,,,,845,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 2, Census Tract 104, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010400> block group:2",102,41,,,,,,,,,,1256,29.8,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8
"Block Group 1, Census Tract 104, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010400> block group:1",50,31,,,,,,,,,,772,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 4, Census Tract 114, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:011400> block group:4",189,85,,,,,,,,,,665,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.7,50.1
"Block Group 2, Census Tract 102.01, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010201> block group:2",98,49,,,,,,,,,,685,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 4, Census Tract 102.01, Herkimer County, New York: Summary level: 150, state:36> county:043> tract:010201> block group:4",52,28,,,,,,,,,,531,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3
