,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 19, Monroe County, New York: Summary level: 150, state:36> county:055> tract:001900> block group:1",104.0,42.0,,,,,,,,,,933,31.6,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,34.7
"Block Group 1, Census Tract 78.02, Monroe County, New York: Summary level: 150, state:36> county:055> tract:007802> block group:1",116.0,54.0,,,,,,,,,,726,42.8,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 3, Census Tract 81, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008100> block group:3",29.0,17.0,,,,,,,,,,401,51.1,24.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 4, Census Tract 81, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008100> block group:4",74.0,43.0,,,,,,,,,,1035,51.9,39.6,-666666666.0,-666666666.0,-666666666.0,35.3,-666666666.0,61.3
"Block Group 1, Census Tract 81, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008100> block group:1",105.0,35.0,,,,,,,,,,1262,46.5,42.7,39.5,49.0,-666666666.0,26.5,18.4,56.5
"Block Group 2, Census Tract 81, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008100> block group:2",71.0,26.0,,,,,,,,,,1475,32.9,26.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,54.9
"Block Group 3, Census Tract 84, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008400> block group:3",104.0,37.0,,,,,,,,,,1103,17.5,24.1,28.5,52.5,-666666666.0,13.9,23.8,29.4
"Block Group 1, Census Tract 84, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008400> block group:1",110.0,52.0,,,,,,,,,,872,24.5,41.1,-666666666.0,-666666666.0,-666666666.0,33.9,24.5,41.8
"Block Group 2, Census Tract 84, Monroe County, New York: Summary level: 150, state:36> county:055> tract:008400> block group:2",102.0,48.0,,,,,,,,,,832,47.8,44.0,-666666666.0,-666666666.0,-666666666.0,18.8,8.4,47.7
"Block Group 2, Census Tract 110, Monroe County, New York: Summary level: 150, state:36> county:055> tract:011000> block group:2",26.0,15.0,,,,,,,,,,486,60.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
