,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9400.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:940001> block group:2",127,71,,,,,,,,,,557,39.1,-666666666.0,37.6,21.3,-666666666.0,-666666666.0,15.8,39.1
"Block Group 1, Census Tract 9400.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:940001> block group:1",104,59,,,,,,,,,,466,59.2,-666666666.0,36.0,51.8,-666666666.0,-666666666.0,-666666666.0,59.2
"Block Group 4, Census Tract 242.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024201> block group:4",144,59,,,,,,,,,,2226,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.7,46.1
"Block Group 1, Census Tract 243.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024301> block group:1",326,157,,,,,,,,,,1163,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 245.02, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024502> block group:1",131,63,,,,,,,,,,1154,52.4,21.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 2, Census Tract 245.02, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024502> block group:2",149,63,,,,,,,,,,1536,47.1,-666666666.0,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 3, Census Tract 245.02, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024502> block group:3",119,61,,,,,,,,,,1047,46.0,-666666666.0,53.0,-666666666.0,-666666666.0,-666666666.0,19.5,49.1
"Block Group 1, Census Tract 207, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020700> block group:1",68,30,,,,,,,,,,631,50.1,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 207, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020700> block group:2",52,21,,,,,,,,,,543,28.5,20.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5
"Block Group 3, Census Tract 207, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020700> block group:3",44,18,,,,,,,,,,761,34.4,23.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.7,34.4
"Block Group 4, Census Tract 207, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020700> block group:4",60,26,,,,,,,,,,995,36.5,25.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 1, Census Tract 222, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022200> block group:1",144,73,,,,,,,,,,1603,50.3,21.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,50.0
"Block Group 3, Census Tract 222, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022200> block group:3",85,52,,,,,,,,,,1008,46.9,56.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.8,47.1
"Block Group 2, Census Tract 222, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022200> block group:2",77,29,,,,,,,,,,953,48.8,11.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 1, Census Tract 224.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022401> block group:1",172,91,,,,,,,,,,1165,45.8,62.0,8.5,-666666666.0,-666666666.0,-666666666.0,6.6,45.6
"Block Group 2, Census Tract 231, Niagara County, New York: Summary level: 150, state:36> county:063> tract:023100> block group:2",137,69,,,,,,,,,,1843,32.9,-666666666.0,-666666666.0,29.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 3, Census Tract 246, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024600> block group:3",154,64,,,,,,,,,,1373,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 6, Census Tract 227.11, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022711> block group:6",199,86,,,,,,,,,,3559,47.1,17.2,-666666666.0,34.2,-666666666.0,-666666666.0,-666666666.0,48.1
"Block Group 3, Census Tract 227.11, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022711> block group:3",99,41,,,,,,,,,,1730,48.6,-666666666.0,-666666666.0,17.5,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 5, Census Tract 227.11, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022711> block group:5",73,29,,,,,,,,,,1321,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.6
"Block Group 4, Census Tract 227.11, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022711> block group:4",106,35,,,,,,,,,,1828,39.7,-666666666.0,-666666666.0,65.6,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 3, Census Tract 217, Niagara County, New York: Summary level: 150, state:36> county:063> tract:021700> block group:3",44,28,,,,,,,,,,518,48.0,21.8,49.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.0
"Block Group 1, Census Tract 235, Niagara County, New York: Summary level: 150, state:36> county:063> tract:023500> block group:1",78,41,,,,,,,,,,900,35.2,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.2
"Block Group 1, Census Tract 9401, Niagara County, New York: Summary level: 150, state:36> county:063> tract:940100> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 204, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020400> block group:1",74,38,,,,,,,,,,692,52.2,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 2, Census Tract 209, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020900> block group:2",73,61,,,,,,,,,,768,56.6,57.3,-666666666.0,63.1,-666666666.0,-666666666.0,14.8,56.5
"Block Group 3, Census Tract 209, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020900> block group:3",53,27,,,,,,,,,,1133,38.6,23.9,-666666666.0,10.5,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 2, Census Tract 228.04, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022804> block group:2",146,66,,,,,,,,,,1466,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 1, Census Tract 243.02, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024302> block group:1",114,56,,,,,,,,,,1213,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 3, Census Tract 225, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022500> block group:3",59,29,,,,,,,,,,604,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.6,33.8
"Block Group 2, Census Tract 225, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022500> block group:2",63,31,,,,,,,,,,771,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 1, Census Tract 228.03, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022803> block group:1",134,55,,,,,,,,,,1448,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 2, Census Tract 228.03, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022803> block group:2",183,81,,,,,,,,,,2000,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,51.0
"Block Group 1, Census Tract 206, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020600> block group:1",85,44,,,,,,,,,,519,52.4,28.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5,52.4
"Block Group 2, Census Tract 206, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020600> block group:2",97,61,,,,,,,,,,679,34.6,50.7,-666666666.0,-666666666.0,-666666666.0,11.0,16.7,34.8
"Block Group 3, Census Tract 244.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024401> block group:3",84,37,,,,,,,,,,896,36.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.1
"Block Group 2, Census Tract 245.01, Niagara County, New York: Summary level: 150, state:36> county:063> tract:024501> block group:2",191,73,,,,,,,,,,1484,44.2,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1
"Block Group 2, Census Tract 213, Niagara County, New York: Summary level: 150, state:36> county:063> tract:021300> block group:2",134,71,,,,,,,,,,1537,31.8,23.6,10.9,54.3,-666666666.0,-666666666.0,24.5,31.6
"Block Group 3, Census Tract 201, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020100> block group:3",89,42,,,,,,,,,,1034,37.4,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 4, Census Tract 201, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020100> block group:4",72,30,,,,,,,,,,883,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.1
"Block Group 2, Census Tract 201, Niagara County, New York: Summary level: 150, state:36> county:063> tract:020100> block group:2",49,22,,,,,,,,,,613,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,10.5,50.9
"Block Group 2, Census Tract 221, Niagara County, New York: Summary level: 150, state:36> county:063> tract:022100> block group:2",76,36,,,,,,,,,,986,37.3,-666666666.0,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
