,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 212, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021200> block group:3",44,18,,,,,,,,,,845,46.2,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 3, Census Tract 213, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021300> block group:3",149,66,,,,,,,,,,1507,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2,49.2
"Block Group 3, Census Tract 207.02, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020702> block group:3",156,68,,,,,,,,,,2109,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.2,41.7
"Block Group 2, Census Tract 214.01, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021401> block group:2",168,62,,,,,,,,,,1634,44.6,12.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 2, Census Tract 208, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020800> block group:2",166,65,,,,,,,,,,1763,40.6,-666666666.0,-666666666.0,22.6,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 2, Census Tract 209.01, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020901> block group:2",203,91,,,,,,,,,,1600,33.2,-666666666.0,-666666666.0,12.7,-666666666.0,-666666666.0,10.8,33.4
"Block Group 1, Census Tract 211.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021103> block group:1",106,48,,,,,,,,,,1133,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.5
"Block Group 2, Census Tract 211.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021103> block group:2",170,66,,,,,,,,,,1537,49.5,-666666666.0,-666666666.0,62.6,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 1, Census Tract 211.04, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021104> block group:1",72,33,,,,,,,,,,690,32.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.0,33.4
"Block Group 2, Census Tract 211.04, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021104> block group:2",80,38,,,,,,,,,,855,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 216.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021603> block group:1",103,43,,,,,,,,,,1315,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 2, Census Tract 216.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021603> block group:2",124,60,,,,,,,,,,1303,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 1, Census Tract 202, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020200> block group:1",169,72,,,,,,,,,,1559,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 2, Census Tract 202, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020200> block group:2",450,182,,,,,,,,,,1557,34.2,25.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3,34.2
"Block Group 1, Census Tract 211.02, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021102> block group:1",318,138,,,,,,,,,,2346,36.0,57.6,-666666666.0,19.5,-666666666.0,29.1,27.3,38.4
"Block Group 1, Census Tract 204, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020400> block group:1",318,140,,,,,,,,,,2060,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.9,40.8
"Block Group 2, Census Tract 204, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020400> block group:2",370,154,,,,,,,,,,3130,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1,9.8,42.2
"Block Group 2, Census Tract 207.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020703> block group:2",200,81,,,,,,,,,,2147,45.4,-666666666.0,16.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 1, Census Tract 207.03, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020703> block group:1",253,101,,,,,,,,,,2944,44.8,-666666666.0,48.7,39.3,-666666666.0,-666666666.0,10.5,44.8
"Block Group 3, Census Tract 211.01, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021101> block group:3",89,52,,,,,,,,,,1021,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 4, Census Tract 211.01, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021101> block group:4",113,42,,,,,,,,,,1468,31.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,-666666666.0,31.2
"Block Group 2, Census Tract 211.01, Oswego County, New York: Summary level: 150, state:36> county:075> tract:021101> block group:2",66,26,,,,,,,,,,596,31.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6
"Block Group 5, Census Tract 205, Oswego County, New York: Summary level: 150, state:36> county:075> tract:020500> block group:5",429,182,,,,,,,,,,1490,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.5,47.8
