,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 616, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061600> block group:3",97,37,,,,,,,,,,1101,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 2, Census Tract 616, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061600> block group:2",107,42,,,,,,,,,,936,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
"Block Group 1, Census Tract 616, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061600> block group:1",66,32,,,,,,,,,,582,57.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.4
"Block Group 2, Census Tract 617.01, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061701> block group:2",132,57,,,,,,,,,,1210,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 2, Census Tract 623, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062300> block group:2",214,105,,,,,,,,,,1586,38.2,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.3,38.4
"Block Group 1, Census Tract 625.01, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062501> block group:1",230,86,,,,,,,,,,2146,44.5,55.2,-666666666.0,7.5,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 3, Census Tract 612, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061200> block group:3",55,28,,,,,,,,,,1136,30.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.2,30.1
"Block Group 1, Census Tract 612, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061200> block group:1",42,29,,,,,,,,,,887,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 2, Census Tract 612, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061200> block group:2",41,26,,,,,,,,,,747,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 5, Census Tract 612, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:061200> block group:5",43,21,,,,,,,,,,1017,26.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2,26.9
"Block Group 3, Census Tract 609.01, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:060901> block group:3",103,50,,,,,,,,,,1184,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,47.5
"Block Group 2, Census Tract 606.01, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:060601> block group:2",49,25,,,,,,,,,,656,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5
"Block Group 2, Census Tract 604, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:060400> block group:2",226,95,,,,,,,,,,1435,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,36.2
"Block Group 1, Census Tract 607.02, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:060702> block group:1",246,88,,,,,,,,,,3927,41.4,44.3,-666666666.0,37.1,-666666666.0,-666666666.0,10.0,42.1
"Block Group 2, Census Tract 620, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062000> block group:2",82,44,,,,,,,,,,1215,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 3, Census Tract 620, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062000> block group:3",71,28,,,,,,,,,,1068,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 1, Census Tract 622, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062200> block group:1",96,49,,,,,,,,,,1358,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.5,46.9
"Block Group 2, Census Tract 626.02, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062602> block group:2",307,119,,,,,,,,,,5060,43.4,-666666666.0,-666666666.0,45.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 1, Census Tract 626.02, Saratoga County, New York: Summary level: 150, state:36> county:091> tract:062602> block group:1",86,32,,,,,,,,,,1649,39.9,-666666666.0,-666666666.0,36.1,-666666666.0,-666666666.0,-666666666.0,41.5
