,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 321.01, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032101> block group:1",42,18,,,,,,,,,,725,48.0,-666666666.0,-666666666.0,37.1,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 1, Census Tract 321.02, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032102> block group:1",138,58,,,,,,,,,,951,44.7,-666666666.0,-666666666.0,25.5,-666666666.0,-666666666.0,9.3,44.6
"Block Group 1, Census Tract 335, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033500> block group:1",26,28,,,,,,,,,,316,57.8,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.8
"Block Group 4, Census Tract 332, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033200> block group:4",75,37,,,,,,,,,,1311,39.0,20.9,-666666666.0,49.3,-666666666.0,48.2,-666666666.0,40.9
"Block Group 1, Census Tract 210.02, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:021002> block group:1",31,25,,,,,,,,,,605,36.9,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 2, Census Tract 325.04, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032504> block group:2",207,86,,,,,,,,,,1364,48.0,-666666666.0,-666666666.0,35.5,-666666666.0,40.1,-666666666.0,48.0
"Block Group 2, Census Tract 330.03, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033003> block group:2",187,81,,,,,,,,,,1910,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.6,47.8
"Block Group 1, Census Tract 330.03, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033003> block group:1",165,96,,,,,,,,,,1685,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.6,50.1
"Block Group 3, Census Tract 207, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:020700> block group:3",54,30,,,,,,,,,,1024,32.2,48.5,-666666666.0,40.2,-666666666.0,41.7,26.5,41.3
"Block Group 4, Census Tract 207, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:020700> block group:4",80,34,,,,,,,,,,1671,28.5,26.7,-666666666.0,17.7,-666666666.0,11.7,8.5,41.7
"Block Group 4, Census Tract 214, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:021400> block group:4",58,32,,,,,,,,,,895,37.1,20.4,-666666666.0,-666666666.0,-666666666.0,41.1,-666666666.0,37.4
"Block Group 3, Census Tract 214, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:021400> block group:3",34,25,,,,,,,,,,488,48.4,11.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 1, Census Tract 210.01, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:021001> block group:1",141,70,,,,,,,,,,960,34.1,33.5,-666666666.0,23.7,-666666666.0,25.7,26.0,33.9
"Block Group 2, Census Tract 326.01, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032601> block group:2",174,72,,,,,,,,,,1115,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6
"Block Group 2, Census Tract 325.02, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032502> block group:2",201,70,,,,,,,,,,1854,51.8,-666666666.0,-666666666.0,8.3,-666666666.0,-666666666.0,18.7,51.7
"Block Group 2, Census Tract 325.03, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032503> block group:2",137,60,,,,,,,,,,1382,51.5,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.0,51.4
"Block Group 3, Census Tract 325.03, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032503> block group:3",119,51,,,,,,,,,,1246,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,37.6
"Block Group 3, Census Tract 321.01, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:032101> block group:3",45,20,,,,,,,,,,884,31.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 2, Census Tract 332, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033200> block group:2",54,28,,,,,,,,,,649,39.9,15.7,-666666666.0,45.1,-666666666.0,-666666666.0,10.6,39.6
"Block Group 3, Census Tract 332, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033200> block group:3",33,23,,,,,,,,,,344,49.8,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 1, Census Tract 332, Schenectady County, New York: Summary level: 150, state:36> county:093> tract:033200> block group:1",62,35,,,,,,,,,,1074,51.1,51.4,-666666666.0,-666666666.0,-666666666.0,15.4,-666666666.0,51.6
