,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 7401, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740100> block group:5",257,110,,,,,,,,,,1161,40.1,-666666666.0,-666666666.0,42.3,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 3, Census Tract 7401, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740100> block group:3",65,30,,,,,,,,,,1038,56.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 2, Census Tract 7401, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740100> block group:2",77,42,,,,,,,,,,434,47.3,32.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 3, Census Tract 7407, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740700> block group:3",44,27,,,,,,,,,,950,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 1, Census Tract 7406, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740600> block group:1",217,125,,,,,,,,,,906,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.9,43.4
"Block Group 4, Census Tract 7406, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740600> block group:4",202,108,,,,,,,,,,824,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 4, Census Tract 7408, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740800> block group:4",228,171,,,,,,,,,,664,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.5,12.8,49.5
"Block Group 1, Census Tract 7408, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740800> block group:1",154,106,,,,,,,,,,636,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 3, Census Tract 7408, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740800> block group:3",242,189,,,,,,,,,,947,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.8
"Block Group 1, Census Tract 7404, Schoharie County, New York: Summary level: 150, state:36> county:095> tract:740400> block group:1",182,85,,,,,,,,,,733,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
