,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9621, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962100> block group:1",498,189,,,,,,,,,,2061,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 3, Census Tract 9605, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960500> block group:3",243,118,,,,,,,,,,957,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 2, Census Tract 9605, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960500> block group:2",201,80,,,,,,,,,,752,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 2, Census Tract 9608, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960800> block group:2",43,19,,,,,,,,,,592,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 1, Census Tract 9608, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960800> block group:1",49,28,,,,,,,,,,643,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.7,-666666666.0,45.5
"Block Group 3, Census Tract 9610, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961000> block group:3",308,142,,,,,,,,,,1476,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.7,-666666666.0,50.3
"Block Group 2, Census Tract 9610, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961000> block group:2",306,143,,,,,,,,,,1169,41.9,2.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 4, Census Tract 9619, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961900> block group:4",164,65,,,,,,,,,,859,33.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.2
"Block Group 3, Census Tract 9619, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961900> block group:3",153,64,,,,,,,,,,896,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 9619, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961900> block group:2",127,50,,,,,,,,,,657,41.8,60.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 2, Census Tract 9627, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962700> block group:2",87,36,,,,,,,,,,1017,37.7,-666666666.0,-666666666.0,3.8,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 3, Census Tract 9627, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962700> block group:3",91,43,,,,,,,,,,936,47.1,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 1, Census Tract 9629, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962900> block group:1",295,132,,,,,,,,,,1809,43.4,65.6,-666666666.0,50.8,-666666666.0,-666666666.0,5.8,43.5
"Block Group 1, Census Tract 9628, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962800> block group:1",250,115,,,,,,,,,,1200,38.9,19.7,-666666666.0,10.6,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 1, Census Tract 9615, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961500> block group:1",245,207,,,,,,,,,,835,56.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4
"Block Group 1, Census Tract 9606, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960600> block group:1",310,147,,,,,,,,,,1155,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 3, Census Tract 9606, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960600> block group:3",261,118,,,,,,,,,,1419,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.8,54.7
"Block Group 1, Census Tract 9617, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961700> block group:1",61,23,,,,,,,,,,659,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 4, Census Tract 9617, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961700> block group:4",126,52,,,,,,,,,,1349,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 1, Census Tract 9618, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961800> block group:1",313,141,,,,,,,,,,1213,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 3, Census Tract 9618, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961800> block group:3",359,145,,,,,,,,,,1233,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 1, Census Tract 9601, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960100> block group:1",343,235,,,,,,,,,,1360,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.4,45.9
"Block Group 1, Census Tract 9602, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960200> block group:1",160,78,,,,,,,,,,897,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.6,44.0
"Block Group 2, Census Tract 9602, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960200> block group:2",228,121,,,,,,,,,,1481,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 3, Census Tract 9602, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960200> block group:3",281,149,,,,,,,,,,1144,37.7,70.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1,37.6
"Block Group 3, Census Tract 9609, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960900> block group:3",55,26,,,,,,,,,,698,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.4,27.8
"Block Group 2, Census Tract 9609, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960900> block group:2",55,31,,,,,,,,,,678,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.1
"Block Group 1, Census Tract 9609, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960900> block group:1",84,32,,,,,,,,,,968,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 1, Census Tract 9616, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961600> block group:1",247,101,,,,,,,,,,877,40.9,22.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 9625, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962500> block group:1",97,48,,,,,,,,,,1282,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.8,32.1
"Block Group 3, Census Tract 9613, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961300> block group:3",123,51,,,,,,,,,,928,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 4, Census Tract 9613, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961300> block group:4",264,109,,,,,,,,,,906,44.4,23.6,-666666666.0,-666666666.0,-666666666.0,28.5,18.3,44.9
"Block Group 2, Census Tract 9630, Steuben County, New York: Summary level: 150, state:36> county:101> tract:963000> block group:2",170,69,,,,,,,,,,942,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 4, Census Tract 9630, Steuben County, New York: Summary level: 150, state:36> county:101> tract:963000> block group:4",245,100,,,,,,,,,,1099,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.5,40.9
"Block Group 1, Census Tract 9630, Steuben County, New York: Summary level: 150, state:36> county:101> tract:963000> block group:1",174,75,,,,,,,,,,970,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 3, Census Tract 9630, Steuben County, New York: Summary level: 150, state:36> county:101> tract:963000> block group:3",216,94,,,,,,,,,,1005,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 1, Census Tract 9622, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962200> block group:1",315,139,,,,,,,,,,1422,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 1, Census Tract 9603, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960300> block group:1",169,94,,,,,,,,,,738,46.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.5,46.7
"Block Group 2, Census Tract 9603, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960300> block group:2",145,57,,,,,,,,,,983,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 3, Census Tract 9603, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960300> block group:3",236,89,,,,,,,,,,833,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.0,37.8
"Block Group 1, Census Tract 9607, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960700> block group:1",64,30,,,,,,,,,,768,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3
"Block Group 4, Census Tract 9607, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960700> block group:4",63,29,,,,,,,,,,577,49.1,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.1,49.9
"Block Group 3, Census Tract 9607, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960700> block group:3",97,37,,,,,,,,,,1026,25.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.9,25.9
"Block Group 2, Census Tract 9607, Steuben County, New York: Summary level: 150, state:36> county:101> tract:960700> block group:2",72,32,,,,,,,,,,773,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 1, Census Tract 9614, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961400> block group:1",268,137,,,,,,,,,,1246,50.8,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,50.9
"Block Group 2, Census Tract 9615, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961500> block group:2",334,143,,,,,,,,,,1010,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 2, Census Tract 9621, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962100> block group:2",352,156,,,,,,,,,,1437,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.7,40.8
"Block Group 3, Census Tract 9628, Steuben County, New York: Summary level: 150, state:36> county:101> tract:962800> block group:3",136,62,,,,,,,,,,1427,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 1, Census Tract 9613, Steuben County, New York: Summary level: 150, state:36> county:101> tract:961300> block group:1",148,47,,,,,,,,,,1585,41.4,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.7,41.2
