,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9501, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950100> block group:4",66.0,33.0,,,,,,,,,,804,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 2, Census Tract 9501, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950100> block group:2",71.0,42.0,,,,,,,,,,746,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 1, Census Tract 9501, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950100> block group:1",89.0,45.0,,,,,,,,,,1253,40.5,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.0,40.4
"Block Group 3, Census Tract 9501, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950100> block group:3",83.0,39.0,,,,,,,,,,690,53.0,19.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.9,53.0
"Block Group 4, Census Tract 9518, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:951800> block group:4",61.0,35.0,,,,,,,,,,1799,27.3,35.9,-666666666.0,-666666666.0,-666666666.0,20.6,42.6,27.8
"Block Group 1, Census Tract 9518, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:951800> block group:1",16.0,8.0,,,,,,,,,,419,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,79.6
"Block Group 6, Census Tract 9518, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:951800> block group:6",28.0,19.0,,,,,,,,,,968,41.8,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9,41.7
"Block Group 2, Census Tract 9518, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:951800> block group:2",86.0,28.0,,,,,,,,,,1068,57.7,32.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.2,58.8
"Block Group 1, Census Tract 9525, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:952500> block group:1",99.0,58.0,,,,,,,,,,622,50.5,-666666666.0,-666666666.0,19.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 2, Census Tract 9505, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950500> block group:2",100.0,40.0,,,,,,,,,,1010,49.8,74.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 3, Census Tract 9505, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950500> block group:3",59.0,22.0,,,,,,,,,,646,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5,-666666666.0,35.9
"Block Group 1, Census Tract 9505, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950500> block group:1",65.0,35.0,,,,,,,,,,943,38.3,43.2,-666666666.0,57.2,-666666666.0,-666666666.0,61.2,42.8
"Block Group 4, Census Tract 9507, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950700> block group:4",98.0,49.0,,,,,,,,,,1330,42.5,31.0,-666666666.0,-666666666.0,-666666666.0,29.5,35.1,48.0
"Block Group 4, Census Tract 9505, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950500> block group:4",41.0,34.0,,,,,,,,,,538,50.3,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 1, Census Tract 9503, Sullivan County, New York: Summary level: 150, state:36> county:105> tract:950300> block group:1",272.0,238.0,,,,,,,,,,1314,46.9,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
