,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 802, Washington County, New York: Summary level: 150, state:36> county:115> tract:080200> block group:1",235,93,,,,,,,,,,2600,37.5,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.7,37.6
"Block Group 1, Census Tract 870, Washington County, New York: Summary level: 150, state:36> county:115> tract:087000> block group:1",109,55,,,,,,,,,,1080,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.1
"Block Group 3, Census Tract 870, Washington County, New York: Summary level: 150, state:36> county:115> tract:087000> block group:3",97,59,,,,,,,,,,1104,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 3, Census Tract 803, Washington County, New York: Summary level: 150, state:36> county:115> tract:080300> block group:3",86,35,,,,,,,,,,1368,28.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.0
"Block Group 1, Census Tract 803, Washington County, New York: Summary level: 150, state:36> county:115> tract:080300> block group:1",69,28,,,,,,,,,,1050,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.1,-666666666.0,43.0
"Block Group 1, Census Tract 860, Washington County, New York: Summary level: 150, state:36> county:115> tract:086000> block group:1",203,105,,,,,,,,,,781,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1,48.3
"Block Group 2, Census Tract 860, Washington County, New York: Summary level: 150, state:36> county:115> tract:086000> block group:2",235,131,,,,,,,,,,988,47.6,20.4,-666666666.0,54.0,-666666666.0,-666666666.0,14.5,48.6
"Block Group 2, Census Tract 880, Washington County, New York: Summary level: 150, state:36> county:115> tract:088000> block group:2",87,39,,,,,,,,,,1828,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 1, Census Tract 880, Washington County, New York: Summary level: 150, state:36> county:115> tract:088000> block group:1",176,45,,,,,,,,,,2556,48.7,20.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 5, Census Tract 820.01, Washington County, New York: Summary level: 150, state:36> county:115> tract:082001> block group:5",291,142,,,,,,,,,,863,44.2,27.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 3, Census Tract 880, Washington County, New York: Summary level: 150, state:36> county:115> tract:088000> block group:3",63,23,,,,,,,,,,931,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 1, Census Tract 890, Washington County, New York: Summary level: 150, state:36> county:115> tract:089000> block group:1",120,49,,,,,,,,,,2261,45.7,-666666666.0,-666666666.0,28.2,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 2, Census Tract 890, Washington County, New York: Summary level: 150, state:36> county:115> tract:089000> block group:2",198,91,,,,,,,,,,1109,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 2, Census Tract 910, Washington County, New York: Summary level: 150, state:36> county:115> tract:091000> block group:2",258,139,,,,,,,,,,1004,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.9,46.9
"Block Group 2, Census Tract 930, Washington County, New York: Summary level: 150, state:36> county:115> tract:093000> block group:2",189,87,,,,,,,,,,1298,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.5,42.3
"Block Group 2, Census Tract 940, Washington County, New York: Summary level: 150, state:36> county:115> tract:094000> block group:2",218,98,,,,,,,,,,1529,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 1, Census Tract 940, Washington County, New York: Summary level: 150, state:36> county:115> tract:094000> block group:1",143,62,,,,,,,,,,800,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,45.3
"Block Group 2, Census Tract 801, Washington County, New York: Summary level: 150, state:36> county:115> tract:080100> block group:2",132,49,,,,,,,,,,2514,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 2, Census Tract 850, Washington County, New York: Summary level: 150, state:36> county:115> tract:085000> block group:2",215,95,,,,,,,,,,1461,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 3, Census Tract 810, Washington County, New York: Summary level: 150, state:36> county:115> tract:081000> block group:3",134,60,,,,,,,,,,1196,50.8,20.5,-666666666.0,34.7,-666666666.0,29.5,20.7,50.9
"Block Group 1, Census Tract 810, Washington County, New York: Summary level: 150, state:36> county:115> tract:081000> block group:1",117,54,,,,,,,,,,1109,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 1, Census Tract 840, Washington County, New York: Summary level: 150, state:36> county:115> tract:084000> block group:1",145,50,,,,,,,,,,2624,43.1,13.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1
"Block Group 2, Census Tract 820.01, Washington County, New York: Summary level: 150, state:36> county:115> tract:082001> block group:2",205,89,,,,,,,,,,1566,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3
"Block Group 2, Census Tract 840, Washington County, New York: Summary level: 150, state:36> county:115> tract:084000> block group:2",184,84,,,,,,,,,,1957,47.3,-666666666.0,-666666666.0,10.6,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 900, Washington County, New York: Summary level: 150, state:36> county:115> tract:090000> block group:1",214,96,,,,,,,,,,1260,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.0,43.5
"Block Group 2, Census Tract 900, Washington County, New York: Summary level: 150, state:36> county:115> tract:090000> block group:2",192,89,,,,,,,,,,575,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 3, Census Tract 900, Washington County, New York: Summary level: 150, state:36> county:115> tract:090000> block group:3",129,58,,,,,,,,,,859,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 4, Census Tract 820.01, Washington County, New York: Summary level: 150, state:36> county:115> tract:082001> block group:4",118,54,,,,,,,,,,663,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 1, Census Tract 820.01, Washington County, New York: Summary level: 150, state:36> county:115> tract:082001> block group:1",49,25,,,,,,,,,,718,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 3, Census Tract 820.01, Washington County, New York: Summary level: 150, state:36> county:115> tract:082001> block group:3",130,61,,,,,,,,,,1064,40.4,41.1,20.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 820.02, Washington County, New York: Summary level: 150, state:36> county:115> tract:082002> block group:1",197,153,,,,,,,,,,548,56.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,57.9
"Block Group 2, Census Tract 920, Washington County, New York: Summary level: 150, state:36> county:115> tract:092000> block group:2",166,79,,,,,,,,,,1926,47.5,-666666666.0,-666666666.0,57.6,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 920, Washington County, New York: Summary level: 150, state:36> county:115> tract:092000> block group:1",221,111,,,,,,,,,,1393,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.2,43.1
"Block Group 1, Census Tract 910, Washington County, New York: Summary level: 150, state:36> county:115> tract:091000> block group:1",216,133,,,,,,,,,,818,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 1, Census Tract 930, Washington County, New York: Summary level: 150, state:36> county:115> tract:093000> block group:1",120,57,,,,,,,,,,661,51.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 1, Census Tract 801, Washington County, New York: Summary level: 150, state:36> county:115> tract:080100> block group:1",104,48,,,,,,,,,,2125,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 1, Census Tract 850, Washington County, New York: Summary level: 150, state:36> county:115> tract:085000> block group:1",121,46,,,,,,,,,,880,43.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4,49.0
"Block Group 4, Census Tract 810, Washington County, New York: Summary level: 150, state:36> county:115> tract:081000> block group:4",229,28,,,,,,,,,,1422,45.5,30.8,-666666666.0,-666666666.0,-666666666.0,32.6,27.1,46.5
"Block Group 3, Census Tract 840, Washington County, New York: Summary level: 150, state:36> county:115> tract:084000> block group:3",296,143,,,,,,,,,,1975,46.3,-666666666.0,-666666666.0,41.8,-666666666.0,-666666666.0,40.1,46.2
"Block Group 2, Census Tract 820.02, Washington County, New York: Summary level: 150, state:36> county:115> tract:082002> block group:2",216,181,,,,,,,,,,742,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 2, Census Tract 870, Washington County, New York: Summary level: 150, state:36> county:115> tract:087000> block group:2",237,96,,,,,,,,,,1572,39.5,77.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.3,39.5
"Block Group 2, Census Tract 803, Washington County, New York: Summary level: 150, state:36> county:115> tract:080300> block group:2",140,62,,,,,,,,,,2396,44.5,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 4, Census Tract 803, Washington County, New York: Summary level: 150, state:36> county:115> tract:080300> block group:4",57,23,,,,,,,,,,614,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 2, Census Tract 810, Washington County, New York: Summary level: 150, state:36> county:115> tract:081000> block group:2",511,92,,,,,,,,,,2445,38.1,34.8,-666666666.0,46.0,-666666666.0,37.2,27.2,38.2
"Block Group 4, Census Tract 880, Washington County, New York: Summary level: 150, state:36> county:115> tract:088000> block group:4",61,24,,,,,,,,,,926,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
