,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 1505, Yates County, New York: Summary level: 150, state:36> county:123> tract:150500> block group:4",66,29,,,,,,,,,,613,43.9,-666666666.0,-666666666.0,25.3,-666666666.0,-666666666.0,-666666666.0,43.7
"Block Group 4, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:4",54,33,,,,,,,,,,773,55.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 2, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:2",283,129,,,,,,,,,,1201,30.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.3,30.2
"Block Group 1, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:1",103,43,,,,,,,,,,1091,38.4,17.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.9,38.9
"Block Group 6, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:6",252,126,,,,,,,,,,1086,39.8,15.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 1, Census Tract 1502, Yates County, New York: Summary level: 150, state:36> county:123> tract:150200> block group:1",381,131,,,,,,,,,,2893,47.1,61.9,-666666666.0,-666666666.0,-666666666.0,17.5,11.2,47.1
"Block Group 3, Census Tract 1502, Yates County, New York: Summary level: 150, state:36> county:123> tract:150200> block group:3",75,32,,,,,,,,,,917,51.9,44.3,-666666666.0,-666666666.0,-666666666.0,41.5,-666666666.0,51.9
"Block Group 2, Census Tract 1502, Yates County, New York: Summary level: 150, state:36> county:123> tract:150200> block group:2",322,109,,,,,,,,,,1592,28.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7
"Block Group 4, Census Tract 1503, Yates County, New York: Summary level: 150, state:36> county:123> tract:150300> block group:4",92,48,,,,,,,,,,1359,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 1, Census Tract 1503, Yates County, New York: Summary level: 150, state:36> county:123> tract:150300> block group:1",401,212,,,,,,,,,,1465,47.3,13.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.5,47.4
"Block Group 2, Census Tract 1503, Yates County, New York: Summary level: 150, state:36> county:123> tract:150300> block group:2",276,148,,,,,,,,,,1053,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.3,45.9
"Block Group 3, Census Tract 1503, Yates County, New York: Summary level: 150, state:36> county:123> tract:150300> block group:3",388,145,,,,,,,,,,1604,36.4,15.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.3,38.7
"Block Group 4, Census Tract 1504, Yates County, New York: Summary level: 150, state:36> county:123> tract:150400> block group:4",66,32,,,,,,,,,,665,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 2, Census Tract 1504, Yates County, New York: Summary level: 150, state:36> county:123> tract:150400> block group:2",54,36,,,,,,,,,,826,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 1, Census Tract 1504, Yates County, New York: Summary level: 150, state:36> county:123> tract:150400> block group:1",86,34,,,,,,,,,,878,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.1
"Block Group 3, Census Tract 1504, Yates County, New York: Summary level: 150, state:36> county:123> tract:150400> block group:3",201,59,,,,,,,,,,1412,22.5,18.5,-666666666.0,21.6,-666666666.0,-666666666.0,21.3,22.6
"Block Group 3, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:3",138,74,,,,,,,,,,539,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 1, Census Tract 1505, Yates County, New York: Summary level: 150, state:36> county:123> tract:150500> block group:1",371,132,,,,,,,,,,1537,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.0
"Block Group 2, Census Tract 1505, Yates County, New York: Summary level: 150, state:36> county:123> tract:150500> block group:2",190,169,,,,,,,,,,817,63.5,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.4
"Block Group 5, Census Tract 1501, Yates County, New York: Summary level: 150, state:36> county:123> tract:150100> block group:5",136,51,,,,,,,,,,1420,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5
"Block Group 3, Census Tract 1505, Yates County, New York: Summary level: 150, state:36> county:123> tract:150500> block group:3",149,53,,,,,,,,,,1446,33.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.5,33.9
