,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 405, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040500> block group:3",93,38,,,,,,,,,,2373,42.2,38.5,-666666666.0,-666666666.0,-666666666.0,16.4,-666666666.0,42.2
"Block Group 4, Census Tract 405, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040500> block group:4",122,54,,,,,,,,,,2393,43.4,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 1, Census Tract 405, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040500> block group:1",60,23,,,,,,,,,,1264,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.6,-666666666.0,30.3
"Block Group 1, Census Tract 406, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040600> block group:1",217,44,,,,,,,,,,2916,36.7,31.8,30.6,22.6,-666666666.0,29.8,11.4,39.7
"Block Group 3, Census Tract 406, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040600> block group:3",76,44,,,,,,,,,,1430,57.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.6
"Block Group 4, Census Tract 404, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040400> block group:4",101,53,,,,,,,,,,1083,47.4,57.9,-666666666.0,30.4,-666666666.0,-666666666.0,36.6,47.4
"Block Group 2, Census Tract 404, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040400> block group:2",185,62,,,,,,,,,,1723,43.4,51.6,-666666666.0,-666666666.0,-666666666.0,13.7,12.2,43.7
"Block Group 5, Census Tract 404, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040400> block group:5",94,39,,,,,,,,,,1118,41.8,65.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 2, Census Tract 403, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040300> block group:2",161,78,,,,,,,,,,1663,48.8,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,48.8
"Block Group 1, Census Tract 401, Alexander County, North Carolina: Summary level: 150, state:37> county:003> tract:040100> block group:1",104,43,,,,,,,,,,1246,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.4
