,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9205, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920500> block group:1",33,17,,,,,,,,,,729,51.7,18.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.7
"Block Group 4, Census Tract 9205, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920500> block group:4",102,34,,,,,,,,,,1761,53.4,29.0,-666666666.0,16.4,-666666666.0,-666666666.0,-666666666.0,53.3
"Block Group 3, Census Tract 9205, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920500> block group:3",51,21,,,,,,,,,,1177,60.2,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 2, Census Tract 9205, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920500> block group:2",39,19,,,,,,,,,,846,74.1,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,74.1
"Block Group 5, Census Tract 9205, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920500> block group:5",112,37,,,,,,,,,,1352,51.3,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.9
"Block Group 1, Census Tract 9206, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920600> block group:1",105,59,,,,,,,,,,1330,41.4,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 3, Census Tract 9206, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920600> block group:3",136,65,,,,,,,,,,1656,36.2,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 2, Census Tract 9206, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920600> block group:2",171,71,,,,,,,,,,1887,23.2,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.6
"Block Group 1, Census Tract 9201, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920100> block group:1",52,33,,,,,,,,,,595,46.6,67.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5,46.6
"Block Group 2, Census Tract 9201, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920100> block group:2",83,49,,,,,,,,,,1190,45.6,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 3, Census Tract 9201, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920100> block group:3",163,80,,,,,,,,,,1037,52.5,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 1, Census Tract 9202, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920200> block group:1",240,125,,,,,,,,,,1689,38.3,51.3,-666666666.0,26.4,-666666666.0,-666666666.0,9.4,38.3
"Block Group 2, Census Tract 9204, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920400> block group:2",76,38,,,,,,,,,,979,36.6,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 1, Census Tract 9204, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920400> block group:1",64,30,,,,,,,,,,971,43.8,40.0,-666666666.0,-666666666.0,-666666666.0,17.2,-666666666.0,43.8
"Block Group 3, Census Tract 9204, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920400> block group:3",68,36,,,,,,,,,,982,79.1,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,79.1
"Block Group 1, Census Tract 9203, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920300> block group:1",57,35,,,,,,,,,,983,49.8,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 3, Census Tract 9203, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920300> block group:3",296,125,,,,,,,,,,2069,40.9,45.9,-666666666.0,34.7,-666666666.0,-666666666.0,2.5,42.1
"Block Group 4, Census Tract 9203, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920300> block group:4",391,22,,,,,,,,,,2326,41.2,35.3,37.5,-666666666.0,-666666666.0,-666666666.0,31.2,42.7
"Block Group 2, Census Tract 9203, Anson County, North Carolina: Summary level: 150, state:37> county:007> tract:920300> block group:2",233,94,,,,,,,,,,2576,38.6,22.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.6,38.6
