,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9301, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930100> block group:1",63,30,,,,,,,,,,1713,28.6,59.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.2,33.7
"Block Group 2, Census Tract 9301, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930100> block group:2",112,60,,,,,,,,,,592,40.2,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 5, Census Tract 9301, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930100> block group:5",135,77,,,,,,,,,,717,51.9,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.2
"Block Group 6, Census Tract 9301, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930100> block group:6",139,73,,,,,,,,,,852,31.5,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.5
"Block Group 1, Census Tract 9306, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930600> block group:1",93,44,,,,,,,,,,1279,50.9,21.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 2, Census Tract 9309, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930900> block group:2",227,126,,,,,,,,,,2230,63.4,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.3
"Block Group 3, Census Tract 9309, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930900> block group:3",68,54,,,,,,,,,,730,58.3,56.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3,58.3
"Block Group 4, Census Tract 9310, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:931000> block group:4",100,46,,,,,,,,,,1460,51.7,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,51.7
"Block Group 3, Census Tract 9310, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:931000> block group:3",38,20,,,,,,,,,,683,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 1, Census Tract 9302, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930200> block group:1",116,42,,,,,,,,,,2225,42.5,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.5,50.2
"Block Group 2, Census Tract 9302, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930200> block group:2",107,44,,,,,,,,,,2074,39.0,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 9308, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930800> block group:1",80,67,,,,,,,,,,987,59.3,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 1, Census Tract 9307, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930700> block group:1",89,69,,,,,,,,,,1160,44.1,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1
"Block Group 2, Census Tract 9307, Beaufort County, North Carolina: Summary level: 150, state:37> county:013> tract:930700> block group:2",250,169,,,,,,,,,,1587,53.3,59.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3
