,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9603, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960300> block group:3",104,53,,,,,,,,,,1513,42.4,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 1, Census Tract 9603, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960300> block group:1",171,112,,,,,,,,,,1075,54.0,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.0
"Block Group 0, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9603, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960300> block group:2",116,64,,,,,,,,,,937,38.2,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.1,38.2
"Block Group 6, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:6",50,29,,,,,,,,,,898,54.9,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9
"Block Group 1, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:1",54,22,,,,,,,,,,834,46.2,67.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 4, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:4",116,62,,,,,,,,,,967,62.9,32.9,-666666666.0,35.1,-666666666.0,-666666666.0,-666666666.0,63.3
"Block Group 2, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:2",272,55,,,,,,,,,,2364,40.5,33.1,35.9,-666666666.0,-666666666.0,-666666666.0,26.7,41.0
"Block Group 7, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:7",51,26,,,,,,,,,,1460,45.6,32.2,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.0
"Block Group 3, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:3",91,43,,,,,,,,,,799,43.3,33.0,-666666666.0,9.5,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 5, Census Tract 9604, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960400> block group:5",33,19,,,,,,,,,,570,64.9,53.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.9
"Block Group 1, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:1",107,57,,,,,,,,,,497,50.1,48.8,13.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 4, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:4",167,85,,,,,,,,,,1064,48.3,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 3, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:3",82,62,,,,,,,,,,820,54.1,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.1
"Block Group 2, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:2",42,18,,,,,,,,,,677,40.8,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 5, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:5",54,26,,,,,,,,,,923,42.7,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 6, Census Tract 9601, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960100> block group:6",59,29,,,,,,,,,,1182,36.9,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.9,36.9
"Block Group 2, Census Tract 9602, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960200> block group:2",127,58,,,,,,,,,,1858,48.0,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.0
"Block Group 3, Census Tract 9602, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960200> block group:3",88,48,,,,,,,,,,1251,47.3,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 1, Census Tract 9602, Bertie County, North Carolina: Summary level: 150, state:37> county:015> tract:960200> block group:1",185,110,,,,,,,,,,829,66.6,19.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.7
