,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 30.01, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003001> block group:3",122,51,,,,,,,,,,2356,42.8,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.8,49.1
"Block Group 4, Census Tract 30.01, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003001> block group:4",74,45,,,,,,,,,,1394,55.0,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0,61.5
"Block Group 2, Census Tract 30.01, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003001> block group:2",244,63,,,,,,,,,,2957,39.6,24.6,63.8,18.9,-666666666.0,-666666666.0,32.9,40.9
"Block Group 4, Census Tract 31.02, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003102> block group:4",116,50,,,,,,,,,,1955,52.3,31.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 3, Census Tract 31.02, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003102> block group:3",67,37,,,,,,,,,,1331,52.2,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.8,52.2
"Block Group 1, Census Tract 31.02, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:003102> block group:1",144,113,,,,,,,,,,1859,38.3,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.7,38.7
"Block Group 1, Census Tract 3, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000300> block group:1",188,81,,,,,,,,,,1469,26.2,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.7
"Block Group 2, Census Tract 3, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000300> block group:2",115,59,,,,,,,,,,669,39.3,53.4,-666666666.0,13.5,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 3, Census Tract 8, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000800> block group:3",122,53,,,,,,,,,,1214,46.6,41.6,-666666666.0,40.7,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 1, Census Tract 8, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000800> block group:1",81,44,,,,,,,,,,1110,32.7,11.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.7
