,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 202.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020201> block group:1",59,31,,,,,,,,,,1046,49.6,6.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 2, Census Tract 202.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020201> block group:2",94,56,,,,,,,,,,1660,53.8,31.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7
"Block Group 2, Census Tract 208.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020802> block group:2",126,59,,,,,,,,,,1459,42.8,49.3,19.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 3, Census Tract 206, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020600> block group:3",52,27,,,,,,,,,,928,55.2,57.6,-666666666.0,-666666666.0,-666666666.0,25.4,-666666666.0,55.2
"Block Group 4, Census Tract 206, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020600> block group:4",29,18,,,,,,,,,,653,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 3, Census Tract 211, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021100> block group:3",130,60,,,,,,,,,,1523,42.1,26.3,-666666666.0,18.9,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 2, Census Tract 211, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021100> block group:2",253,110,,,,,,,,,,1941,42.1,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.4,42.3
"Block Group 3, Census Tract 201, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020100> block group:3",86,42,,,,,,,,,,958,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 1, Census Tract 201, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020100> block group:1",85,41,,,,,,,,,,798,49.5,16.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 3, Census Tract 212.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021201> block group:3",123,56,,,,,,,,,,1530,51.2,-666666666.0,9.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 1, Census Tract 212.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021201> block group:1",78,35,,,,,,,,,,1117,36.6,-666666666.0,-666666666.0,9.5,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 1, Census Tract 202.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020202> block group:1",160,84,,,,,,,,,,1596,57.6,40.3,-666666666.0,51.1,-666666666.0,-666666666.0,-666666666.0,57.8
"Block Group 4, Census Tract 210, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021000> block group:4",59,24,,,,,,,,,,1109,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 2, Census Tract 203.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020301> block group:2",72,33,,,,,,,,,,1391,39.4,40.0,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 2, Census Tract 202.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020202> block group:2",232,99,,,,,,,,,,2576,44.3,22.2,-666666666.0,46.8,-666666666.0,-666666666.0,11.6,44.3
"Block Group 3, Census Tract 203.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020301> block group:3",95,45,,,,,,,,,,702,45.9,47.1,-666666666.0,28.7,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 4, Census Tract 203.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020301> block group:4",246,105,,,,,,,,,,1481,43.9,37.2,-666666666.0,35.8,-666666666.0,17.9,12.4,43.6
"Block Group 1, Census Tract 203.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020302> block group:1",92,34,,,,,,,,,,1948,44.1,77.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1
"Block Group 2, Census Tract 203.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020302> block group:2",160,62,,,,,,,,,,2632,47.9,41.8,-666666666.0,21.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 4, Census Tract 203.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020302> block group:4",46,20,,,,,,,,,,850,41.8,-666666666.0,-666666666.0,47.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 1, Census Tract 210, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021000> block group:1",233,98,,,,,,,,,,1424,47.4,42.2,-666666666.0,14.6,-666666666.0,15.5,-666666666.0,47.3
"Block Group 2, Census Tract 210, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021000> block group:2",122,61,,,,,,,,,,962,48.3,-666666666.0,-666666666.0,11.9,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 3, Census Tract 212.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021202> block group:3",125,55,,,,,,,,,,1371,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,47.2
"Block Group 1, Census Tract 212.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021202> block group:1",133,55,,,,,,,,,,1119,35.9,-666666666.0,-666666666.0,23.5,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 1, Census Tract 212.03, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021203> block group:1",186,83,,,,,,,,,,2506,40.2,48.8,51.4,36.1,-666666666.0,-666666666.0,33.7,40.3
"Block Group 2, Census Tract 213.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021302> block group:2",80,41,,,,,,,,,,842,44.9,-666666666.0,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 3, Census Tract 213.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021302> block group:3",98,59,,,,,,,,,,948,55.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 2, Census Tract 208.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020801> block group:2",42,23,,,,,,,,,,723,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 205, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020500> block group:2",112,44,,,,,,,,,,1144,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.5,19.4,49.0
"Block Group 2, Census Tract 213.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021301> block group:2",109,60,,,,,,,,,,1084,50.0,-666666666.0,-666666666.0,36.9,-666666666.0,36.9,-666666666.0,50.0
"Block Group 3, Census Tract 213.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021301> block group:3",384,76,,,,,,,,,,3305,41.4,20.5,-666666666.0,20.4,-666666666.0,21.6,6.2,41.8
"Block Group 2, Census Tract 209, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020900> block group:2",223,91,,,,,,,,,,2303,50.3,56.4,-666666666.0,28.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 5, Census Tract 209, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020900> block group:5",81,42,,,,,,,,,,1290,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6
"Block Group 4, Census Tract 209, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020900> block group:4",49,24,,,,,,,,,,1194,56.8,25.0,-666666666.0,44.0,-666666666.0,-666666666.0,-666666666.0,56.9
"Block Group 1, Census Tract 208.02, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020802> block group:1",166,70,,,,,,,,,,1785,53.4,-666666666.0,-666666666.0,25.4,-666666666.0,21.6,-666666666.0,54.6
"Block Group 1, Census Tract 203.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020301> block group:1",78,38,,,,,,,,,,1205,53.6,23.5,-666666666.0,29.1,-666666666.0,-666666666.0,-666666666.0,54.0
"Block Group 3, Census Tract 202.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020201> block group:3",80,43,,,,,,,,,,1854,37.4,60.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.4,37.8
"Block Group 4, Census Tract 202.01, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020201> block group:4",41,18,,,,,,,,,,1197,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.4
"Block Group 2, Census Tract 206, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020600> block group:2",67,33,,,,,,,,,,1198,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.7,-666666666.0,48.1
"Block Group 1, Census Tract 206, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:020600> block group:1",123,64,,,,,,,,,,3032,51.0,48.2,-666666666.0,-666666666.0,-666666666.0,25.5,-666666666.0,59.5
"Block Group 1, Census Tract 211, Burke County, North Carolina: Summary level: 150, state:37> county:023> tract:021100> block group:1",193,84,,,,,,,,,,2824,43.9,-666666666.0,-666666666.0,12.3,-666666666.0,-666666666.0,-666666666.0,43.9
