,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9709.01, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:970901> block group:2",102,100,,,,,,,,,,624,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 1, Census Tract 9710.01, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:971001> block group:1",101,407,,,,,,,,,,553,59.4,16.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.4
"Block Group 1, Census Tract 9711.01, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:971101> block group:1",33,42,,,,,,,,,,241,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.9,50.8
"Block Group 3, Census Tract 9711.01, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:971101> block group:3",52,135,,,,,,,,,,452,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3
"Block Group 1, Census Tract 9711.02, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:971102> block group:1",31,49,,,,,,,,,,177,59.7,-666666666.0,-666666666.0,27.2,-666666666.0,-666666666.0,-666666666.0,60.4
"Block Group 1, Census Tract 9801, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:980100> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9701.03, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:970103> block group:3",67,44,,,,,,,,,,807,53.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3,53.9
"Block Group 1, Census Tract 9701.03, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:970103> block group:1",59,34,,,,,,,,,,788,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 9701.03, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:970103> block group:2",91,45,,,,,,,,,,1389,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 1, Census Tract 9703.04, Carteret County, North Carolina: Summary level: 150, state:37> county:031> tract:970304> block group:1",58,27,,,,,,,,,,617,44.4,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.7,44.4
