,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 103.04, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010304> block group:2",77,34,,,,,,,,,,1404,38.4,16.9,-666666666.0,-666666666.0,-666666666.0,15.4,-666666666.0,42.5
"Block Group 1, Census Tract 103.04, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010304> block group:1",66,28,,,,,,,,,,927,38.9,-666666666.0,-666666666.0,21.4,-666666666.0,8.0,-666666666.0,38.9
"Block Group 3, Census Tract 107, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010700> block group:3",65,36,,,,,,,,,,759,34.5,5.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.7
"Block Group 2, Census Tract 107, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010700> block group:2",59,38,,,,,,,,,,733,40.0,42.6,-666666666.0,-666666666.0,-666666666.0,29.3,-666666666.0,51.3
"Block Group 1, Census Tract 107, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010700> block group:1",44,29,,,,,,,,,,601,41.6,60.3,-666666666.0,-666666666.0,-666666666.0,5.4,-666666666.0,41.6
"Block Group 1, Census Tract 117.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011701> block group:1",148,61,,,,,,,,,,1754,43.2,-666666666.0,-666666666.0,23.8,-666666666.0,35.4,-666666666.0,43.6
"Block Group 2, Census Tract 117.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011701> block group:2",171,62,,,,,,,,,,1690,45.3,-666666666.0,-666666666.0,19.7,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 2, Census Tract 102.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010202> block group:2",107,41,,,,,,,,,,2170,40.4,35.2,-666666666.0,27.2,-666666666.0,30.3,11.4,40.7
"Block Group 3, Census Tract 102.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010202> block group:3",128,37,,,,,,,,,,1818,45.9,36.1,-666666666.0,-666666666.0,-666666666.0,13.3,-666666666.0,45.9
"Block Group 1, Census Tract 102.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010202> block group:1",155,66,,,,,,,,,,3028,50.5,-666666666.0,-666666666.0,40.2,-666666666.0,-666666666.0,60.3,50.3
"Block Group 1, Census Tract 104.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010402> block group:1",150,73,,,,,,,,,,1895,33.7,23.3,-666666666.0,28.6,-666666666.0,26.6,12.7,33.8
"Block Group 2, Census Tract 104.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010402> block group:2",297,93,,,,,,,,,,2759,34.3,21.6,-666666666.0,48.8,-666666666.0,24.2,18.6,38.5
"Block Group 2, Census Tract 103.03, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010303> block group:2",207,90,,,,,,,,,,2825,40.8,60.3,-666666666.0,25.9,-666666666.0,10.7,12.7,45.1
"Block Group 1, Census Tract 103.03, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010303> block group:1",156,63,,,,,,,,,,1642,43.8,-666666666.0,-666666666.0,38.2,-666666666.0,7.9,-666666666.0,44.6
"Block Group 2, Census Tract 109, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010900> block group:2",129,57,,,,,,,,,,1478,45.7,47.5,-666666666.0,-666666666.0,-666666666.0,36.0,18.7,44.9
"Block Group 1, Census Tract 102.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010201> block group:1",155,71,,,,,,,,,,1957,43.0,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.7,43.4
"Block Group 2, Census Tract 101.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010101> block group:2",100,44,,,,,,,,,,2112,47.3,8.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 3, Census Tract 101.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010101> block group:3",60,23,,,,,,,,,,1846,33.3,-666666666.0,-666666666.0,23.6,-666666666.0,-666666666.0,-666666666.0,33.3
"Block Group 2, Census Tract 103.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010302> block group:2",117,65,,,,,,,,,,2527,45.5,42.2,-666666666.0,14.1,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 1, Census Tract 103.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010302> block group:1",107,45,,,,,,,,,,1679,43.7,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.8,46.4
"Block Group 3, Census Tract 101.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010102> block group:3",259,102,,,,,,,,,,1260,45.4,41.7,-666666666.0,14.7,-666666666.0,23.3,-666666666.0,45.6
"Block Group 1, Census Tract 104.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010401> block group:1",122,61,,,,,,,,,,2386,39.0,18.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.0
"Block Group 3, Census Tract 104.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010401> block group:3",98,52,,,,,,,,,,2061,46.0,60.2,-666666666.0,20.4,-666666666.0,47.5,-666666666.0,46.7
"Block Group 4, Census Tract 117.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011702> block group:4",59,21,,,,,,,,,,1045,32.8,30.0,-666666666.0,20.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 2, Census Tract 117.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011702> block group:2",142,51,,,,,,,,,,2413,45.3,-666666666.0,-666666666.0,18.9,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 3, Census Tract 118.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011801> block group:3",92,35,,,,,,,,,,1885,39.6,51.1,-666666666.0,-666666666.0,-666666666.0,12.8,-666666666.0,39.6
"Block Group 3, Census Tract 113, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011300> block group:3",120,53,,,,,,,,,,3354,32.9,46.0,-666666666.0,26.3,-666666666.0,13.5,15.3,38.6
"Block Group 1, Census Tract 113, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011300> block group:1",85,45,,,,,,,,,,1568,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2,-666666666.0,48.4
"Block Group 3, Census Tract 118.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011802> block group:3",120,43,,,,,,,,,,2393,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.7,-666666666.0,44.0
"Block Group 1, Census Tract 118.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011802> block group:1",70,26,,,,,,,,,,1507,42.5,57.5,-666666666.0,9.1,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 2, Census Tract 111.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011102> block group:2",74,38,,,,,,,,,,1006,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 3, Census Tract 111.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011102> block group:3",94,51,,,,,,,,,,2141,34.2,52.3,-666666666.0,31.8,-666666666.0,27.3,-666666666.0,34.0
"Block Group 3, Census Tract 114.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011402> block group:3",101,41,,,,,,,,,,1075,43.1,-666666666.0,-666666666.0,30.1,-666666666.0,-666666666.0,-666666666.0,43.1
"Block Group 2, Census Tract 114.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011402> block group:2",98,46,,,,,,,,,,918,69.1,40.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.2
"Block Group 2, Census Tract 114.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011401> block group:2",123,50,,,,,,,,,,1103,36.3,55.1,-666666666.0,-666666666.0,-666666666.0,13.3,18.0,37.2
"Block Group 3, Census Tract 114.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011401> block group:3",43,24,,,,,,,,,,586,50.2,23.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 2, Census Tract 116.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011601> block group:2",150,59,,,,,,,,,,2047,39.8,-666666666.0,-666666666.0,24.3,-666666666.0,17.3,17.3,41.0
"Block Group 3, Census Tract 116.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:011601> block group:3",116,29,,,,,,,,,,1113,46.8,50.1,31.5,28.3,-666666666.0,32.0,25.5,46.8
"Block Group 2, Census Tract 105.01, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010501> block group:2",218,95,,,,,,,,,,2624,42.6,44.5,-666666666.0,7.4,-666666666.0,20.3,-666666666.0,43.1
"Block Group 2, Census Tract 105.02, Catawba County, North Carolina: Summary level: 150, state:37> county:035> tract:010502> block group:2",123,49,,,,,,,,,,1503,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0
