,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9703, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970300> block group:4",28,55,,,,,,,,,,612,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 3, Census Tract 9703, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970300> block group:3",110,50,,,,,,,,,,2301,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5,10.0,38.2
"Block Group 0, Census Tract 9703, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970300> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 0, Census Tract 9704, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970400> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9704, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970400> block group:3",25,79,,,,,,,,,,282,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.0
"Block Group 1, Census Tract 9702, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970200> block group:1",68,75,,,,,,,,,,1014,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8
"Block Group 3, Census Tract 9702, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970200> block group:3",76,51,,,,,,,,,,1106,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 2, Census Tract 9702, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970200> block group:2",61,52,,,,,,,,,,878,54.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.7,-666666666.0,54.2
"Block Group 1, Census Tract 9704, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970400> block group:1",118,95,,,,,,,,,,1319,43.9,86.8,-666666666.0,-666666666.0,-666666666.0,26.4,-666666666.0,43.9
"Block Group 2, Census Tract 9704, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970400> block group:2",100,106,,,,,,,,,,1226,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 0, Census Tract 9901, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:990100> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 9702, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970200> block group:4",86,44,,,,,,,,,,1294,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.6
"Block Group 0, Census Tract 9902, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:990200> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9705.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970502> block group:2",134,83,,,,,,,,,,2376,51.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.6,-666666666.0,51.8
"Block Group 3, Census Tract 9705.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970502> block group:3",38,48,,,,,,,,,,511,60.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 1, Census Tract 9705.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970502> block group:1",74,162,,,,,,,,,,1501,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 1, Census Tract 9701.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970102> block group:1",136,57,,,,,,,,,,1495,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 0, Census Tract 9701.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970102> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9701.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970102> block group:2",144,117,,,,,,,,,,1852,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 0, Census Tract 9705.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970501> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9705.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970501> block group:1",115,60,,,,,,,,,,1512,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.7,19.1,46.2
"Block Group 1, Census Tract 9706.02, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970602> block group:1",205,97,,,,,,,,,,1638,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 4, Census Tract 9706.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970601> block group:4",182,180,,,,,,,,,,1237,57.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3
"Block Group 0, Census Tract 9706.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970601> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9706.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970601> block group:3",196,91,,,,,,,,,,2699,40.9,32.5,31.0,-666666666.0,-666666666.0,52.1,60.3,41.8
"Block Group 2, Census Tract 9706.01, Dare County, North Carolina: Summary level: 150, state:37> county:055> tract:970601> block group:2",46,19,,,,,,,,,,572,59.0,52.6,-666666666.0,33.4,-666666666.0,-666666666.0,-666666666.0,59.0
