,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 606, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060600> block group:1",134,51,,,,,,,,,,2828,34.8,49.8,-666666666.0,39.9,-666666666.0,-666666666.0,9.6,34.9
"Block Group 2, Census Tract 606, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060600> block group:2",132,60,,,,,,,,,,2925,45.7,40.4,-666666666.0,-666666666.0,-666666666.0,9.6,33.3,46.5
"Block Group 3, Census Tract 606, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060600> block group:3",129,60,,,,,,,,,,2911,45.0,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.0,45.1
"Block Group 1, Census Tract 602, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060200> block group:1",183,98,,,,,,,,,,1870,53.1,56.2,18.8,-666666666.0,-666666666.0,23.5,33.2,53.3
"Block Group 2, Census Tract 607, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060700> block group:2",68,31,,,,,,,,,,1656,28.9,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.5
"Block Group 3, Census Tract 607, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060700> block group:3",95,47,,,,,,,,,,2504,54.4,22.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 2, Census Tract 603.01, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060301> block group:2",114,35,,,,,,,,,,1656,57.6,24.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.3
"Block Group 3, Census Tract 603.01, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060301> block group:3",60,23,,,,,,,,,,1231,52.7,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 1, Census Tract 603.01, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060301> block group:1",230,42,,,,,,,,,,2798,51.4,19.5,-666666666.0,18.8,-666666666.0,18.8,-666666666.0,51.3
"Block Group 2, Census Tract 603.02, Franklin County, North Carolina: Summary level: 150, state:37> county:069> tract:060302> block group:2",94,47,,,,,,,,,,1228,38.1,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.1,38.1
