,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9707.03, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970703> block group:2",,,,,,,,,,,,1470,25.9,21.8,21.3,-666666666.0,-666666666.0,20.1,20.4,33.9
"Block Group 1, Census Tract 9707.03, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970703> block group:1",196.0,87.0,,,,,,,,,,2752,44.8,46.2,-666666666.0,47.1,-666666666.0,22.2,10.6,48.1
"Block Group 2, Census Tract 9707.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970702> block group:2",161.0,42.0,,,,,,,,,,1264,49.5,51.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 2, Census Tract 9706.03, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970603> block group:2",41.0,20.0,,,,,,,,,,962,51.3,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 2, Census Tract 9701.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970101> block group:2",133.0,68.0,,,,,,,,,,2226,42.9,58.0,-666666666.0,-666666666.0,-666666666.0,61.5,-666666666.0,42.9
"Block Group 3, Census Tract 9701.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970101> block group:3",116.0,64.0,,,,,,,,,,1139,45.3,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.7,45.3
"Block Group 2, Census Tract 9701.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970102> block group:2",131.0,57.0,,,,,,,,,,1855,31.4,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.1
"Block Group 1, Census Tract 9701.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970102> block group:1",141.0,66.0,,,,,,,,,,1777,49.3,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 2, Census Tract 9706.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970601> block group:2",67.0,33.0,,,,,,,,,,1689,47.8,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 9706.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970602> block group:1",201.0,74.0,,,,,,,,,,4619,39.4,50.3,-666666666.0,10.5,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 1, Census Tract 9707.04, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970704> block group:1",106.0,1.0,,,,,,,,,,1209,51.5,41.5,55.6,-666666666.0,-666666666.0,-666666666.0,30.9,51.5
"Block Group 1, Census Tract 9707.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970701> block group:1",89.0,37.0,,,,,,,,,,1062,41.7,37.9,-666666666.0,-666666666.0,-666666666.0,14.5,-666666666.0,41.4
"Block Group 2, Census Tract 9707.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970701> block group:2",369.0,164.0,,,,,,,,,,3136,46.5,23.5,-666666666.0,-666666666.0,-666666666.0,16.8,18.1,47.3
"Block Group 1, Census Tract 9706.03, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970603> block group:1",57.0,19.0,,,,,,,,,,1084,33.1,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.6,33.1
"Block Group 1, Census Tract 9707.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970702> block group:1",172.0,59.0,,,,,,,,,,1453,43.0,53.6,-666666666.0,-666666666.0,-666666666.0,16.4,13.8,52.3
"Block Group 3, Census Tract 9706.03, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970603> block group:3",163.0,74.0,,,,,,,,,,4176,43.8,41.6,-666666666.0,11.9,-666666666.0,-666666666.0,17.0,44.2
"Block Group 1, Census Tract 9701.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970101> block group:1",79.0,31.0,,,,,,,,,,1434,47.6,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5,47.3
"Block Group 1, Census Tract 9706.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970601> block group:1",174.0,66.0,,,,,,,,,,4179,39.5,34.4,-666666666.0,-666666666.0,-666666666.0,4.0,15.4,39.1
"Block Group 2, Census Tract 9706.02, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970602> block group:2",133.0,53.0,,,,,,,,,,3186,44.6,40.2,15.3,-666666666.0,-666666666.0,-666666666.0,12.8,44.5
"Block Group 3, Census Tract 9707.01, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970701> block group:3",85.0,36.0,,,,,,,,,,1051,43.9,41.7,-666666666.0,-666666666.0,-666666666.0,50.4,6.2,43.9
"Block Group 3, Census Tract 9705, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970500> block group:3",86.0,31.0,,,,,,,,,,1295,42.9,42.9,-666666666.0,-666666666.0,-666666666.0,15.4,25.9,48.9
"Block Group 1, Census Tract 9705, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970500> block group:1",158.0,68.0,,,,,,,,,,1827,46.5,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.8,46.7
"Block Group 2, Census Tract 9705, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970500> block group:2",77.0,36.0,,,,,,,,,,866,48.9,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 3, Census Tract 9704, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970400> block group:3",85.0,38.0,,,,,,,,,,1247,13.7,28.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9704, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970400> block group:1",123.0,67.0,,,,,,,,,,1404,51.8,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 2, Census Tract 9704, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970400> block group:2",124.0,57.0,,,,,,,,,,1384,46.9,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.4,48.0
"Block Group 3, Census Tract 9703, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970300> block group:3",125.0,54.0,,,,,,,,,,1508,54.4,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.7
"Block Group 1, Census Tract 9703, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970300> block group:1",107.0,49.0,,,,,,,,,,1172,49.1,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.8,49.8
"Block Group 2, Census Tract 9703, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970300> block group:2",75.0,30.0,,,,,,,,,,918,49.1,30.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 9702, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970200> block group:1",173.0,64.0,,,,,,,,,,1414,45.4,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 2, Census Tract 9702, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970200> block group:2",121.0,27.0,,,,,,,,,,1003,62.4,54.2,-666666666.0,-666666666.0,-666666666.0,19.7,-666666666.0,62.9
"Block Group 3, Census Tract 9702, Granville County, North Carolina: Summary level: 150, state:37> county:077> tract:970200> block group:3",189.0,87.0,,,,,,,,,,2348,33.6,36.5,-666666666.0,-666666666.0,-666666666.0,50.7,-666666666.0,43.1
