,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9504.01, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950401> block group:3",285,125,,,,,,,,,,1436,56.8,27.3,35.3,-666666666.0,-666666666.0,14.3,7.7,59.0
"Block Group 1, Census Tract 9504.01, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950401> block group:1",259,132,,,,,,,,,,857,49.1,31.8,-666666666.0,41.3,-666666666.0,-666666666.0,4.3,49.1
"Block Group 2, Census Tract 9504.01, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950401> block group:2",259,132,,,,,,,,,,733,57.0,25.3,-666666666.0,73.5,-666666666.0,23.3,23.8,56.9
"Block Group 3, Census Tract 9504.02, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950402> block group:3",220,122,,,,,,,,,,497,38.2,39.3,69.5,45.0,-666666666.0,-666666666.0,55.0,35.9
"Block Group 4, Census Tract 9504.02, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950402> block group:4",613,322,,,,,,,,,,1985,57.2,32.4,44.0,-666666666.0,-666666666.0,10.8,57.1,57.5
"Block Group 1, Census Tract 9504.02, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950402> block group:1",365,181,,,,,,,,,,887,53.5,41.0,60.3,-666666666.0,-666666666.0,-666666666.0,46.5,53.5
"Block Group 2, Census Tract 9504.02, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950402> block group:2",264,154,,,,,,,,,,674,39.8,41.0,53.5,-666666666.0,-666666666.0,-666666666.0,21.5,39.8
"Block Group 2, Census Tract 9503, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950300> block group:2",86,50,,,,,,,,,,1297,42.1,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 1, Census Tract 9503, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950300> block group:1",143,66,,,,,,,,,,2373,43.4,37.2,-666666666.0,-666666666.0,-666666666.0,32.5,10.2,48.1
"Block Group 1, Census Tract 9502, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950200> block group:1",129,57,,,,,,,,,,1382,56.0,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.1,55.9
"Block Group 4, Census Tract 9502, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950200> block group:4",356,179,,,,,,,,,,1293,35.7,43.3,71.4,50.8,-666666666.0,29.3,12.5,35.7
"Block Group 2, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:2",35,23,,,,,,,,,,570,69.3,53.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.3
"Block Group 1, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:1",105,49,,,,,,,,,,1485,28.9,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.9
"Block Group 6, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:6",64,24,,,,,,,,,,1038,59.8,33.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.8
"Block Group 4, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:4",96,55,,,,,,,,,,718,28.7,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 3, Census Tract 9502, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950200> block group:3",629,192,,,,,,,,,,2950,44.9,39.2,57.5,54.0,-666666666.0,54.4,49.0,47.0
"Block Group 2, Census Tract 9502, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950200> block group:2",251,162,,,,,,,,,,1075,52.4,52.5,45.1,-666666666.0,-666666666.0,-666666666.0,36.6,52.5
"Block Group 5, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:5",41,20,,,,,,,,,,1000,46.5,50.1,-666666666.0,42.4,-666666666.0,-666666666.0,16.5,46.5
"Block Group 3, Census Tract 9501, Hertford County, North Carolina: Summary level: 150, state:37> county:091> tract:950100> block group:3",296,89,,,,,,,,,,2118,45.7,19.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.1,45.7
