,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 114, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011400> block group:1",66,39,,,,,,,,,,783,46.6,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 1, Census Tract 110.02, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011002> block group:1",167,68,,,,,,,,,,2179,32.8,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,39.1
"Block Group 2, Census Tract 110.02, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011002> block group:2",143,67,,,,,,,,,,1625,47.8,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 2, Census Tract 110.01, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011001> block group:2",78,33,,,,,,,,,,1104,46.9,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.6,47.1
"Block Group 1, Census Tract 110.01, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011001> block group:1",188,91,,,,,,,,,,2361,44.7,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.2,46.8
"Block Group 3, Census Tract 110.01, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011001> block group:3",56,30,,,,,,,,,,1040,47.8,26.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 108, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:010800> block group:3",58,31,,,,,,,,,,1259,53.5,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 3, Census Tract 114, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011400> block group:3",125,59,,,,,,,,,,1717,32.4,23.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.4
"Block Group 4, Census Tract 114, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:011400> block group:4",48,22,,,,,,,,,,775,26.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.4,-666666666.0,32.6
"Block Group 1, Census Tract 108, Lenoir County, North Carolina: Summary level: 150, state:37> county:107> tract:010800> block group:1",129,37,,,,,,,,,,2134,52.9,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
