,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9703, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970300> block group:3",53,20,,,,,,,,,,730,56.0,58.4,-666666666.0,-666666666.0,-666666666.0,27.4,-666666666.0,56.0
"Block Group 1, Census Tract 9705, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970500> block group:1",97,49,,,,,,,,,,1332,56.8,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 3, Census Tract 9705, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970500> block group:3",119,57,,,,,,,,,,1580,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
"Block Group 2, Census Tract 9705, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970500> block group:2",134,53,,,,,,,,,,1381,37.2,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,37.7
"Block Group 1, Census Tract 9701, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970100> block group:1",55,34,,,,,,,,,,935,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 2, Census Tract 9701, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970100> block group:2",61,32,,,,,,,,,,1473,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 4, Census Tract 9701, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970100> block group:4",104,49,,,,,,,,,,1737,44.8,-666666666.0,-666666666.0,21.0,-666666666.0,21.1,-666666666.0,50.0
"Block Group 3, Census Tract 9701, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970100> block group:3",44,24,,,,,,,,,,866,46.5,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.0
"Block Group 1, Census Tract 9702, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970200> block group:1",133,59,,,,,,,,,,2745,41.7,-666666666.0,-666666666.0,38.9,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 3, Census Tract 9702, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970200> block group:3",76,35,,,,,,,,,,1319,43.4,17.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 2, Census Tract 9702, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970200> block group:2",56,25,,,,,,,,,,1177,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,54.4
"Block Group 2, Census Tract 9706, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970600> block group:2",91,41,,,,,,,,,,893,43.5,38.4,-666666666.0,18.7,-666666666.0,27.5,-666666666.0,43.5
"Block Group 3, Census Tract 9706, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970600> block group:3",158,67,,,,,,,,,,1672,42.8,58.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.6,42.9
"Block Group 1, Census Tract 9706, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970600> block group:1",69,35,,,,,,,,,,885,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 9708, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970800> block group:3",116,64,,,,,,,,,,1140,50.0,-666666666.0,23.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 1, Census Tract 9708, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970800> block group:1",91,41,,,,,,,,,,975,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 3, Census Tract 9707, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970700> block group:3",161,67,,,,,,,,,,1998,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.5,-666666666.0,45.6
"Block Group 2, Census Tract 9707, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970700> block group:2",136,69,,,,,,,,,,1406,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 4, Census Tract 9709.01, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970901> block group:4",38,20,,,,,,,,,,757,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
"Block Group 2, Census Tract 9704, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970400> block group:2",128,62,,,,,,,,,,1813,38.1,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 2, Census Tract 9709.02, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970902> block group:2",35,22,,,,,,,,,,672,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 3, Census Tract 9709.02, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970902> block group:3",121,51,,,,,,,,,,2439,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 2, Census Tract 9709.01, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970901> block group:2",145,54,,,,,,,,,,2712,43.0,21.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 1, Census Tract 9704, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970400> block group:1",95,42,,,,,,,,,,1500,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.1,11.8,44.6
"Block Group 1, Census Tract 9709.01, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970901> block group:1",145,30,,,,,,,,,,1829,41.4,33.4,34.3,-666666666.0,-666666666.0,-666666666.0,28.6,41.5
"Block Group 1, Census Tract 9709.02, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970902> block group:1",90,47,,,,,,,,,,1733,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 3, Census Tract 9709.01, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970901> block group:3",76,38,,,,,,,,,,1363,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 1, Census Tract 9703, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970300> block group:1",110,54,,,,,,,,,,1586,47.6,66.1,14.4,48.7,-666666666.0,19.3,-666666666.0,48.2
"Block Group 2, Census Tract 9708, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970800> block group:2",148,69,,,,,,,,,,1630,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.0,50.0
"Block Group 1, Census Tract 9707, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970700> block group:1",178,95,,,,,,,,,,1459,46.1,27.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 2, Census Tract 9703, McDowell County, North Carolina: Summary level: 150, state:37> county:111> tract:970300> block group:2",117,41,,,,,,,,,,1224,48.4,17.0,-666666666.0,6.5,-666666666.0,-666666666.0,-666666666.0,48.1
