,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9503, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950300> block group:2",167,79,,,,,,,,,,1389,45.4,-666666666.0,17.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 3, Census Tract 9503, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950300> block group:3",126,59,,,,,,,,,,1054,35.0,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.0,40.3
"Block Group 4, Census Tract 9502, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950200> block group:4",68,36,,,,,,,,,,868,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 3, Census Tract 9502, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950200> block group:3",84,52,,,,,,,,,,720,57.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 2, Census Tract 9502, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950200> block group:2",119,72,,,,,,,,,,1093,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.5,15.0,49.1
"Block Group 2, Census Tract 9501, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950100> block group:2",52,31,,,,,,,,,,728,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.5
"Block Group 3, Census Tract 9501, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950100> block group:3",34,19,,,,,,,,,,312,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 1, Census Tract 9504, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950400> block group:1",109,55,,,,,,,,,,1119,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.1,-666666666.0,43.4
"Block Group 3, Census Tract 9504, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950400> block group:3",97,47,,,,,,,,,,1643,46.9,21.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 2, Census Tract 9504, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950400> block group:2",133,67,,,,,,,,,,1834,54.2,-666666666.0,12.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.0
"Block Group 1, Census Tract 9502, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950200> block group:1",113,57,,,,,,,,,,1232,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6
"Block Group 1, Census Tract 9501, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950100> block group:1",94,65,,,,,,,,,,1278,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 1, Census Tract 9503, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950300> block group:1",112,43,,,,,,,,,,1088,44.9,19.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 4, Census Tract 9503, Mitchell County, North Carolina: Summary level: 150, state:37> county:121> tract:950300> block group:4",98,51,,,,,,,,,,972,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.1,-666666666.0,55.5
