,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9203, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920300> block group:3",201,117,,,,,,,,,,1264,57.1,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.6,57.3
"Block Group 2, Census Tract 9202, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920200> block group:2",86,46,,,,,,,,,,981,39.7,47.6,-666666666.0,-666666666.0,41.5,-666666666.0,-666666666.0,39.7
"Block Group 4, Census Tract 9202, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920200> block group:4",77,40,,,,,,,,,,712,65.7,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.7
"Block Group 3, Census Tract 9202, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920200> block group:3",219,101,,,,,,,,,,1324,46.5,42.8,78.5,-666666666.0,-666666666.0,-666666666.0,40.2,46.5
"Block Group 1, Census Tract 9201, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920100> block group:1",87,50,,,,,,,,,,708,59.9,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9
"Block Group 6, Census Tract 9201, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920100> block group:6",84,46,,,,,,,,,,841,52.0,23.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.4,52.0
"Block Group 3, Census Tract 9201, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920100> block group:3",164,87,,,,,,,,,,1087,29.7,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.1,29.7
"Block Group 5, Census Tract 9201, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920100> block group:5",42,19,,,,,,,,,,848,45.6,17.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 4, Census Tract 9201, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920100> block group:4",30,17,,,,,,,,,,491,59.8,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.8
"Block Group 2, Census Tract 9204.01, Northampton County, North Carolina: Summary level: 150, state:37> county:131> tract:920401> block group:2",137,57,,,,,,,,,,1640,61.7,48.8,-666666666.0,-666666666.0,-666666666.0,16.5,-666666666.0,61.5
