,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9605.03, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960503> block group:1",183,70,,,,,,,,,,2756,31.9,50.6,-666666666.0,31.3,-666666666.0,-666666666.0,-666666666.0,31.0
"Block Group 1, Census Tract 9605.02, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960502> block group:1",170,68,,,,,,,,,,2466,34.7,32.9,-666666666.0,33.2,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 9605.02, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960502> block group:2",268,66,,,,,,,,,,2340,44.4,37.0,-666666666.0,-666666666.0,13.8,-666666666.0,6.3,44.3
"Block Group 1, Census Tract 9607.01, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960701> block group:1",127,51,,,,,,,,,,2516,34.3,48.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.2,49.4
"Block Group 3, Census Tract 9607.02, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960702> block group:3",69,39,,,,,,,,,,738,55.5,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 0, Census Tract 9607.02, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960702> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9607.02, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960702> block group:1",109,51,,,,,,,,,,1317,50.5,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 2, Census Tract 9605.01, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960501> block group:2",152,65,,,,,,,,,,1796,56.0,19.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.0
"Block Group 2, Census Tract 9604, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960400> block group:2",61,30,,,,,,,,,,717,37.6,25.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 5, Census Tract 9604, Pasquotank County, North Carolina: Summary level: 150, state:37> county:139> tract:960400> block group:5",41,24,,,,,,,,,,552,58.1,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
