,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 313.06, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031306> block group:3",113,49,,,,,,,,,,1906,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 2, Census Tract 313.06, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031306> block group:2",102,38,,,,,,,,,,1854,46.7,14.0,-666666666.0,-666666666.0,-666666666.0,17.7,-666666666.0,46.7
"Block Group 1, Census Tract 305.03, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030503> block group:1",130,53,,,,,,,,,,2480,35.7,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 3, Census Tract 305.03, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030503> block group:3",50,22,,,,,,,,,,1088,51.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,-666666666.0,51.7
"Block Group 1, Census Tract 315.05, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031505> block group:1",76,29,,,,,,,,,,1048,38.8,69.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 2, Census Tract 315.04, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031504> block group:2",150,61,,,,,,,,,,2203,44.0,40.3,-666666666.0,47.3,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 3, Census Tract 315.04, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031504> block group:3",119,56,,,,,,,,,,1791,56.2,-666666666.0,-666666666.0,32.9,-666666666.0,-666666666.0,-666666666.0,56.1
"Block Group 2, Census Tract 313.03, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031303> block group:2",135,63,,,,,,,,,,2142,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 313.04, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031304> block group:1",146,60,,,,,,,,,,2110,38.2,56.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 313.04, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031304> block group:2",148,67,,,,,,,,,,1826,48.2,50.2,67.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 1, Census Tract 310, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031000> block group:1",70,31,,,,,,,,,,1219,38.2,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 310, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031000> block group:2",120,59,,,,,,,,,,1445,44.4,55.3,-666666666.0,-666666666.0,-666666666.0,7.9,-666666666.0,47.6
"Block Group 3, Census Tract 310, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031000> block group:3",260,109,,,,,,,,,,1800,39.2,31.5,33.0,-666666666.0,-666666666.0,-666666666.0,15.5,40.5
"Block Group 5, Census Tract 310, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031000> block group:5",172,82,,,,,,,,,,1382,51.3,30.4,-666666666.0,33.9,-666666666.0,-666666666.0,12.9,57.0
"Block Group 1, Census Tract 315.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031501> block group:1",44,16,,,,,,,,,,761,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,38.0
"Block Group 2, Census Tract 303.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030301> block group:2",97,47,,,,,,,,,,2049,49.8,16.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 1, Census Tract 303.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030301> block group:1",130,60,,,,,,,,,,3616,32.9,29.1,-666666666.0,-666666666.0,-666666666.0,14.0,6.3,39.4
"Block Group 2, Census Tract 307, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030700> block group:2",60,23,,,,,,,,,,1146,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 307, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030700> block group:3",171,66,,,,,,,,,,3032,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7,-666666666.0,39.4
"Block Group 2, Census Tract 308.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030802> block group:2",95,42,,,,,,,,,,1918,41.3,36.3,-666666666.0,-666666666.0,-666666666.0,40.5,-666666666.0,41.1
"Block Group 1, Census Tract 308.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030802> block group:1",150,57,,,,,,,,,,2705,35.7,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 3, Census Tract 302.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030202> block group:3",176,71,,,,,,,,,,2720,34.4,-666666666.0,-666666666.0,69.5,-666666666.0,21.6,-666666666.0,49.6
"Block Group 1, Census Tract 302.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030202> block group:1",132,59,,,,,,,,,,1402,51.0,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.8
"Block Group 4, Census Tract 311, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031100> block group:4",127,45,,,,,,,,,,1804,26.0,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.8,28.7
"Block Group 3, Census Tract 311, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031100> block group:3",189,86,,,,,,,,,,1364,49.8,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4,49.3
"Block Group 5, Census Tract 311, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031100> block group:5",30,14,,,,,,,,,,545,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.3,-666666666.0,46.9
"Block Group 2, Census Tract 311, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031100> block group:2",58,26,,,,,,,,,,1086,26.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.9
"Block Group 3, Census Tract 306, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030600> block group:3",63,32,,,,,,,,,,1197,48.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.7,-666666666.0,52.4
"Block Group 2, Census Tract 306, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030600> block group:2",167,57,,,,,,,,,,3108,37.1,-666666666.0,-666666666.0,19.3,-666666666.0,29.5,50.2,37.7
"Block Group 2, Census Tract 302.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030201> block group:2",92,51,,,,,,,,,,1246,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.5,-666666666.0,42.3
"Block Group 1, Census Tract 302.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030201> block group:1",67,27,,,,,,,,,,820,44.4,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 2, Census Tract 304, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030400> block group:2",106,55,,,,,,,,,,1271,57.8,14.7,-666666666.0,-666666666.0,-666666666.0,36.0,-666666666.0,61.4
"Block Group 1, Census Tract 304, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030400> block group:1",34,24,,,,,,,,,,559,39.0,25.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.9
"Block Group 1, Census Tract 309, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030900> block group:1",141,59,,,,,,,,,,1710,38.5,39.3,16.1,-666666666.0,-666666666.0,-666666666.0,8.9,38.6
"Block Group 3, Census Tract 312, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031200> block group:3",114,67,,,,,,,,,,929,45.1,51.1,-666666666.0,-666666666.0,-666666666.0,46.3,-666666666.0,53.2
"Block Group 4, Census Tract 312, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031200> block group:4",217,95,,,,,,,,,,1828,42.3,38.0,-666666666.0,-666666666.0,-666666666.0,38.5,21.5,44.2
"Block Group 1, Census Tract 312, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031200> block group:1",94,45,,,,,,,,,,1180,44.8,65.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 4, Census Tract 314, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031400> block group:4",174,62,,,,,,,,,,3591,31.7,-666666666.0,-666666666.0,37.3,-666666666.0,8.6,-666666666.0,31.7
"Block Group 3, Census Tract 314, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031400> block group:3",96,47,,,,,,,,,,1504,43.3,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.0,43.5
"Block Group 3, Census Tract 315.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031501> block group:3",39,16,,,,,,,,,,676,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 2, Census Tract 315.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031501> block group:2",94,43,,,,,,,,,,1374,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8,48.3
"Block Group 4, Census Tract 315.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031501> block group:4",174,68,,,,,,,,,,2969,41.0,17.5,-666666666.0,-666666666.0,-666666666.0,42.8,-666666666.0,41.3
"Block Group 1, Census Tract 305.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030502> block group:1",212,96,,,,,,,,,,2238,50.8,48.3,-666666666.0,65.5,-666666666.0,63.1,9.2,53.3
"Block Group 2, Census Tract 312, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031200> block group:2",47,21,,,,,,,,,,897,44.4,56.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,44.4
"Block Group 2, Census Tract 305.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030502> block group:2",90,43,,,,,,,,,,1097,54.7,10.9,-666666666.0,31.2,-666666666.0,28.9,-666666666.0,55.9
"Block Group 3, Census Tract 305.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030502> block group:3",50,27,,,,,,,,,,773,32.1,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.3,32.9
"Block Group 2, Census Tract 314, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031400> block group:2",94,43,,,,,,,,,,2115,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.8,10.6,47.5
"Block Group 1, Census Tract 314, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031400> block group:1",49,30,,,,,,,,,,1142,35.1,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.1,35.1
"Block Group 2, Census Tract 315.03, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031503> block group:2",217,99,,,,,,,,,,2236,34.4,46.6,-666666666.0,-666666666.0,-666666666.0,30.0,27.4,36.1
"Block Group 1, Census Tract 315.03, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031503> block group:1",128,59,,,,,,,,,,1130,41.6,32.3,-666666666.0,40.0,-666666666.0,-666666666.0,18.6,41.6
"Block Group 1, Census Tract 301, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030100> block group:1",108,55,,,,,,,,,,1345,45.2,28.3,-666666666.0,40.3,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 301, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030100> block group:2",263,75,,,,,,,,,,2524,34.6,37.7,-666666666.0,-666666666.0,-666666666.0,21.1,4.3,43.4
"Block Group 3, Census Tract 301, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030100> block group:3",73,44,,,,,,,,,,1055,30.2,23.1,-666666666.0,-666666666.0,-666666666.0,23.3,-666666666.0,26.1
"Block Group 1, Census Tract 316.02, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:031602> block group:1",190,99,,,,,,,,,,1297,46.3,39.0,-666666666.0,31.7,-666666666.0,22.9,-666666666.0,50.8
"Block Group 3, Census Tract 308.01, Randolph County, North Carolina: Summary level: 150, state:37> county:151> tract:030801> block group:3",85,34,,,,,,,,,,1722,46.4,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
