,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9701, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970100> block group:3",118,41,,,,,,,,,,1211,25.8,41.8,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.4
"Block Group 1, Census Tract 9710, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:971000> block group:1",116,54,,,,,,,,,,1452,50.3,45.1,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 2, Census Tract 9710, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:971000> block group:2",232,127,,,,,,,,,,1696,43.4,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 9706, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970600> block group:1",141,75,,,,,,,,,,2263,31.8,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.4
"Block Group 3, Census Tract 9706, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970600> block group:3",81,40,,,,,,,,,,1043,33.9,23.3,-666666666.0,60.1,-666666666.0,-666666666.0,13.8,30.0
"Block Group 1, Census Tract 9707, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970700> block group:1",64,31,,,,,,,,,,757,50.9,43.5,61.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 3, Census Tract 9707, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970700> block group:3",59,22,,,,,,,,,,836,43.5,15.0,-666666666.0,-666666666.0,-666666666.0,9.2,11.3,43.5
"Block Group 2, Census Tract 9702, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970200> block group:2",128,57,,,,,,,,,,2016,28.9,41.9,-666666666.0,-666666666.0,-666666666.0,37.3,9.5,28.1
"Block Group 1, Census Tract 9702, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:970200> block group:1",137,82,,,,,,,,,,1673,42.2,61.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 2, Census Tract 9711, Richmond County, North Carolina: Summary level: 150, state:37> county:153> tract:971100> block group:2",60,30,,,,,,,,,,915,47.8,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
