,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 203.09, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020309> block group:1",326,120,,,,,,,,,,2361,47.4,29.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.4,47.8
"Block Group 2, Census Tract 207.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020702> block group:2",161,68,,,,,,,,,,2100,43.3,49.1,-666666666.0,-666666666.0,-666666666.0,10.8,-666666666.0,48.2
"Block Group 1, Census Tract 210.14, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021014> block group:1",252,94,,,,,,,,,,1860,33.6,62.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 2, Census Tract 210.07, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021007> block group:2",213,60,,,,,,,,,,2595,38.4,43.1,-666666666.0,42.4,-666666666.0,15.8,17.1,38.1
"Block Group 1, Census Tract 210.07, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021007> block group:1",313,88,,,,,,,,,,3891,38.9,33.0,-666666666.0,36.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 1, Census Tract 203.17, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020317> block group:1",92,34,,,,,,,,,,1348,36.6,20.4,-666666666.0,-666666666.0,-666666666.0,15.3,-666666666.0,36.7
"Block Group 1, Census Tract 207.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020702> block group:1",223,78,,,,,,,,,,2100,33.0,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.0,34.5
"Block Group 2, Census Tract 206.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020602> block group:2",129,55,,,,,,,,,,1936,28.4,16.0,-666666666.0,-666666666.0,-666666666.0,35.3,-666666666.0,40.3
"Block Group 1, Census Tract 206.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020602> block group:1",232,79,,,,,,,,,,3062,48.9,35.9,-666666666.0,-666666666.0,-666666666.0,23.3,-666666666.0,60.4
"Block Group 2, Census Tract 207.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020701> block group:2",439,90,,,,,,,,,,3879,22.2,22.0,32.1,26.6,-666666666.0,19.4,21.2,22.9
"Block Group 1, Census Tract 207.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020701> block group:1",180,55,,,,,,,,,,1979,36.3,29.9,-666666666.0,-666666666.0,-666666666.0,30.4,14.5,40.5
"Block Group 1, Census Tract 205.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020502> block group:1",81,39,,,,,,,,,,1180,58.1,40.4,-666666666.0,-666666666.0,-666666666.0,25.9,-666666666.0,58.6
"Block Group 2, Census Tract 205.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020502> block group:2",185,75,,,,,,,,,,2771,43.8,30.1,-666666666.0,-666666666.0,-666666666.0,11.6,-666666666.0,44.9
"Block Group 2, Census Tract 205.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020501> block group:2",67,27,,,,,,,,,,928,51.9,52.8,-666666666.0,-666666666.0,-666666666.0,7.4,-666666666.0,65.1
"Block Group 1, Census Tract 202.03, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020203> block group:1",115,39,,,,,,,,,,1398,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 1, Census Tract 202.04, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020204> block group:1",152,53,,,,,,,,,,1665,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.7,-666666666.0,34.8
"Block Group 2, Census Tract 201, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020100> block group:2",109,42,,,,,,,,,,2110,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 1, Census Tract 201, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020100> block group:1",101,39,,,,,,,,,,1900,33.8,47.6,-666666666.0,29.9,-666666666.0,-666666666.0,-666666666.0,33.4
"Block Group 3, Census Tract 201, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020100> block group:3",109,44,,,,,,,,,,2476,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 1, Census Tract 210.12, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021012> block group:1",195,67,,,,,,,,,,2117,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,22.3,38.2
"Block Group 2, Census Tract 210.04, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021004> block group:2",155,60,,,,,,,,,,1035,45.9,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 1, Census Tract 210.04, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:021004> block group:1",359,112,,,,,,,,,,3697,37.1,49.0,-666666666.0,-666666666.0,-666666666.0,47.8,9.9,37.4
"Block Group 2, Census Tract 204.04, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020404> block group:2",80,37,,,,,,,,,,2099,36.1,28.2,-666666666.0,-666666666.0,-666666666.0,30.4,56.2,42.2
"Block Group 1, Census Tract 203.10, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020310> block group:1",168,56,,,,,,,,,,2228,43.8,54.6,8.9,48.6,-666666666.0,-666666666.0,11.6,42.9
"Block Group 2, Census Tract 203.10, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020310> block group:2",133,50,,,,,,,,,,1611,30.4,40.3,-666666666.0,-666666666.0,-666666666.0,19.0,-666666666.0,31.7
"Block Group 2, Census Tract 203.05, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020305> block group:2",241,82,,,,,,,,,,3094,36.3,37.3,-666666666.0,37.8,-666666666.0,-666666666.0,8.5,36.6
"Block Group 1, Census Tract 204.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020401> block group:1",165,69,,,,,,,,,,3282,42.5,36.1,74.1,34.6,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 1, Census Tract 209.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020901> block group:1",168,69,,,,,,,,,,2064,36.4,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.6,35.8
"Block Group 3, Census Tract 209.01, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020901> block group:3",143,61,,,,,,,,,,1744,41.8,71.4,38.4,-666666666.0,-666666666.0,45.7,10.8,41.8
"Block Group 2, Census Tract 203.17, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020317> block group:2",201,67,,,,,,,,,,2320,33.4,54.3,-666666666.0,38.2,-666666666.0,-666666666.0,8.4,34.5
"Block Group 3, Census Tract 203.17, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020317> block group:3",142,43,,,,,,,,,,2115,36.0,11.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.3,36.3
"Block Group 2, Census Tract 208, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020800> block group:2",109,34,,,,,,,,,,866,57.3,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1,58.0
"Block Group 3, Census Tract 208, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020800> block group:3",147,56,,,,,,,,,,1424,38.8,31.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.0,38.8
"Block Group 4, Census Tract 208, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020800> block group:4",188,75,,,,,,,,,,1712,36.8,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.9
"Block Group 5, Census Tract 208, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020800> block group:5",78,36,,,,,,,,,,843,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 1, Census Tract 208, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020800> block group:1",60,28,,,,,,,,,,537,55.2,61.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2
"Block Group 2, Census Tract 202.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020202> block group:2",83,29,,,,,,,,,,1709,35.4,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 3, Census Tract 202.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020202> block group:3",51,21,,,,,,,,,,838,41.3,-666666666.0,15.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 1, Census Tract 202.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020202> block group:1",126,44,,,,,,,,,,2348,35.8,17.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 4, Census Tract 202.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020202> block group:4",95,44,,,,,,,,,,1542,51.0,-666666666.0,-666666666.0,29.7,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 2, Census Tract 209.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020902> block group:2",111,44,,,,,,,,,,2288,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.4,15.1,40.9
"Block Group 1, Census Tract 209.02, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020902> block group:1",91,43,,,,,,,,,,2151,42.3,14.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 1, Census Tract 203.13, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020313> block group:1",243,102,,,,,,,,,,2357,39.7,50.8,72.0,41.4,-666666666.0,-666666666.0,4.9,41.3
"Block Group 1, Census Tract 204.03, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020403> block group:1",103,46,,,,,,,,,,1693,35.7,18.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,37.7
"Block Group 2, Census Tract 204.03, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020403> block group:2",127,52,,,,,,,,,,2184,34.4,26.9,-666666666.0,-666666666.0,-666666666.0,16.9,-666666666.0,44.1
"Block Group 3, Census Tract 204.03, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020403> block group:3",94,39,,,,,,,,,,1092,43.7,55.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.7
"Block Group 1, Census Tract 203.12, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020312> block group:1",134,59,,,,,,,,,,2148,48.2,23.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.4,49.4
"Block Group 2, Census Tract 203.12, Union County, North Carolina: Summary level: 150, state:37> county:179> tract:020312> block group:2",141,57,,,,,,,,,,2238,27.2,22.8,-666666666.0,38.0,-666666666.0,21.3,39.3,27.4
