,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 14, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:001400> block group:1",67,29,,,,,,,,,,976,54.5,35.8,-666666666.0,73.6,-666666666.0,-666666666.0,9.0,54.5
"Block Group 3, Census Tract 14, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:001400> block group:3",55,24,,,,,,,,,,1437,30.2,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1,30.2
"Block Group 1, Census Tract 6.01, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000601> block group:1",189,78,,,,,,,,,,2484,43.4,34.7,-666666666.0,-666666666.0,-666666666.0,25.5,11.6,47.5
"Block Group 3, Census Tract 6.01, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000601> block group:3",129,57,,,,,,,,,,1670,36.0,42.3,-666666666.0,-666666666.0,-666666666.0,21.8,14.2,37.1
"Block Group 2, Census Tract 3.02, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000302> block group:2",120,46,,,,,,,,,,2550,39.8,27.9,-666666666.0,-666666666.0,-666666666.0,37.9,-666666666.0,40.4
"Block Group 1, Census Tract 3.02, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000302> block group:1",77,36,,,,,,,,,,1782,40.2,25.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 2, Census Tract 19, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:001900> block group:2",87,43,,,,,,,,,,1121,33.1,28.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.2,33.1
"Block Group 1, Census Tract 19, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:001900> block group:1",212,80,,,,,,,,,,1950,64.6,37.4,-666666666.0,1.4,-666666666.0,-666666666.0,-666666666.0,64.6
"Block Group 2, Census Tract 6.02, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000602> block group:2",50,21,,,,,,,,,,1074,43.8,39.7,-666666666.0,-666666666.0,-666666666.0,27.0,-666666666.0,49.6
"Block Group 1, Census Tract 6.02, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000602> block group:1",118,54,,,,,,,,,,2421,38.3,36.6,-666666666.0,-666666666.0,-666666666.0,10.7,-666666666.0,38.9
"Block Group 1, Census Tract 5, Wayne County, North Carolina: Summary level: 150, state:37> county:191> tract:000500> block group:1",174,33,,,,,,,,,,1222,22.3,21.4,-666666666.0,22.6,-666666666.0,21.0,9.8,22.3
