,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000100> block group:1",107,19,,,,,,,,,,823,20.5,20.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.0,20.8
"Block Group 2, Census Tract 1, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000100> block group:2",41,23,,,,,,,,,,446,38.7,52.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 4, Census Tract 1, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000100> block group:4",65,42,,,,,,,,,,1214,59.1,27.8,-666666666.0,-666666666.0,-666666666.0,11.3,-666666666.0,59.1
"Block Group 3, Census Tract 1, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000100> block group:3",64,33,,,,,,,,,,804,43.4,46.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.5
"Block Group 1, Census Tract 2, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000200> block group:1",136,55,,,,,,,,,,1010,32.0,28.0,-666666666.0,-666666666.0,-666666666.0,41.5,28.2,33.6
"Block Group 3, Census Tract 7, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000700> block group:3",45,22,,,,,,,,,,971,-666666666.0,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 5.02, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000502> block group:3",55,26,,,,,,,,,,977,64.8,58.2,-666666666.0,49.0,-666666666.0,21.0,-666666666.0,64.8
"Block Group 1, Census Tract 5.02, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000502> block group:1",43,19,,,,,,,,,,780,48.2,70.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 1, Census Tract 5.01, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000501> block group:1",173,74,,,,,,,,,,2209,43.7,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5,43.7
"Block Group 1, Census Tract 7, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000700> block group:1",100,42,,,,,,,,,,2650,23.8,32.5,-666666666.0,-666666666.0,-666666666.0,0.0,8.6,24.9
"Block Group 4, Census Tract 7, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000700> block group:4",65,18,,,,,,,,,,1122,77.0,47.7,-666666666.0,-666666666.0,-666666666.0,22.9,-666666666.0,77.0
"Block Group 1, Census Tract 9, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000900> block group:1",97,47,,,,,,,,,,1240,49.0,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 3, Census Tract 6, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000600> block group:3",42,19,,,,,,,,,,822,40.8,40.4,-666666666.0,-666666666.0,-666666666.0,53.5,-666666666.0,40.8
"Block Group 4, Census Tract 6, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000600> block group:4",30,13,,,,,,,,,,868,37.5,14.4,-666666666.0,24.5,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 2, Census Tract 6, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000600> block group:2",34,19,,,,,,,,,,682,61.5,24.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.5
"Block Group 2, Census Tract 12, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001200> block group:2",103,44,,,,,,,,,,1258,41.6,50.3,-666666666.0,-666666666.0,-666666666.0,13.1,-666666666.0,41.6
"Block Group 3, Census Tract 12, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001200> block group:3",70,37,,,,,,,,,,596,52.1,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 3, Census Tract 13, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001300> block group:3",92,43,,,,,,,,,,1040,49.5,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.2
"Block Group 2, Census Tract 13, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001300> block group:2",115,65,,,,,,,,,,1065,57.0,58.3,-666666666.0,-666666666.0,-666666666.0,48.3,-666666666.0,57.0
"Block Group 1, Census Tract 8.02, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000802> block group:1",117,47,,,,,,,,,,1824,53.7,38.5,-666666666.0,-666666666.0,-666666666.0,15.1,26.6,5.9
"Block Group 2, Census Tract 8.02, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000802> block group:2",85,37,,,,,,,,,,995,41.6,60.2,-666666666.0,63.1,-666666666.0,44.2,13.4,47.0
"Block Group 2, Census Tract 16, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001600> block group:2",76,32,,,,,,,,,,872,38.9,54.1,4.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.9
"Block Group 3, Census Tract 9, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000900> block group:3",72,31,,,,,,,,,,665,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.7,-666666666.0,56.6
"Block Group 3, Census Tract 4, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:000400> block group:3",50,26,,,,,,,,,,1237,47.4,28.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,77.8
"Block Group 4, Census Tract 13, Wilson County, North Carolina: Summary level: 150, state:37> county:195> tract:001300> block group:4",194,82,,,,,,,,,,1862,46.4,43.5,-666666666.0,-666666666.0,-666666666.0,32.9,16.8,46.5
